Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
BV-173,CML_lympho,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,BV_173,./NG-13640/2017-11-20/NG-13640_BV_173_lib227468_5681_8_1.fastq.gz,lib227468_5681_8,BV_173,NONE,NG-13640_BV_173_lib227468_5681_8,Myeloid,LAML
CCRF-CEM,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,CCRF_CEM,./NG-13640/2018-02-02/NG-13640_CCRF_CEM_lib241217_5826_6_1.fastq.gz,lib241217_5826_6,CCRF_CEM,NONE,NG-13640_CCRF_CEM_lib241217_5826_6,Lymphoid,DLBC
CMK,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,CMK,./NG-13640/2018-05-11/NG-13640_CMK_lib259808_5981_3_1.fastq.gz,lib259808_5981_3,CMK,NONE,NG-13640_CMK_lib259808_5981_3,Myeloid,LAML
CML-T1,CML_lympho,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,CML_T1,./NG-13640/2018-05-11/NG-13640_CML_T1_lib259818_5981_7_1.fastq.gz,lib259818_5981_7,CML_T1,NONE,NG-13640_CML_T1_lib259818_5981_7,Myeloid,LAML
CRO-AP2,PEL,LL-100,leukemia and lymphoma panel,NG-13640,Primary effusion lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,CRO_AP2,./NG-13640/2018-01-29/NG-13640_CRO_AP2_lib241209_5808_6_1.fastq.gz,lib241209_5808_6,CRO_AP2,NONE,NG-13640_CRO_AP2_lib241209_5808_6,Lymphoid,DLBC
CRO-AP5,PEL,LL-100,leukemia and lymphoma panel,NG-13640,Primary effusion lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,CRO_AP5,./NG-13640/2017-11-24/NG-13640_CRO_AP5_lib227485_5684_6_1.fastq.gz,lib227485_5684_6,CRO_AP5,NONE,NG-13640_CRO_AP5_lib227485_5684_6,Lymphoid,DLBC
DAUDI,BURKITT B ALL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,DAUDI,./NG-13640/2017-12-04/NG-13640_DAUDI_lib227475_5697_7_1.fastq.gz,lib227475_5697_7,DAUDI,NONE,NG-13640_DAUDI_lib227475_5697_7,Hematologic,DLBC;LAML
DEL,ALCL,LL-100,leukemia and lymphoma panel,NG-13640,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,DEL,./NG-13640/2018-03-16/NG-13640_DEL_lib250969_5908_5_1.fastq.gz,lib250969_5908_5,DEL,NONE,NG-13640_DEL_lib250969_5908_5,Lymphoid,DLBC
DERL-7,M T MAL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,DERL_7,./NG-13640/2018-01-12/NG-13640_DERL7_lib236383_5767_8_1.fastq.gz,lib236383_5767_8,DERL7,DERL_7,NG-13640_DERL7_lib236383_5767_8,Hematologic,DLBC;LAML
DND-41,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,DND_41,./NG-13640/2018-01-29/NG-13640_DND_41_lib241218_5808_7_1.fastq.gz,lib241218_5808_7,DND_41,NONE,NG-13640_DND_41_lib241218_5808_7,Lymphoid,DLBC
DOHH-2,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,DOHH_2,./NG-13640/2018-01-15/NG-13640_DOHH2_lib236386_5774_8_1.fastq.gz,lib236386_5774_8,DOHH2,DOHH_2,NG-13640_DOHH2_lib236386_5774_8,Lymphoid,DLBC
ELF-153,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,ELF_153,./NG-13640/2018-05-11/NG-13640_ELF_153_lib259809_5981_3_1.fastq.gz,lib259809_5981_3,ELF_153,NONE,NG-13640_ELF_153_lib259809_5981_3,Myeloid,LAML
