query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__cohort_rbl_marker_source_class_anchor_direction_down	cohort_marker_source_class_direction	21	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__marker_source_class_isolate_direction_down	marker_source_class_direction	81	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_brca_marker_source_class_isolate_direction_down	cohort_marker_source_class_direction	30	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_nbl_marker_source_class_isolate_direction_down	cohort_marker_source_class_direction	28	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_rbl_marker_source_class_isolate_direction_down	cohort_marker_source_class_direction	23	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__direction_mixed	direction	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_brca_direction_mixed	cohort_direction	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_nbl_direction_mixed	cohort_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_rbl_direction_mixed	cohort_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__marker_source_class_anchor_direction_mixed	marker_source_class_direction	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_brca_marker_source_class_anchor_direction_mixed	cohort_marker_source_class_direction	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_nbl_marker_source_class_anchor_direction_mixed	cohort_marker_source_class_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_rbl_marker_source_class_anchor_direction_mixed	cohort_marker_source_class_direction	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__marker_source_class_isolate_direction_mixed	marker_source_class_direction	1	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_brca_marker_source_class_isolate_direction_mixed	cohort_marker_source_class_direction	1	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
