Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22373311	43331326	1.0	145	161.398586	83.1	19316715.0						
SRR22373311._STARpass1					83.85	19491018.0						
SRR22373311_1							45.36849052603616	47.0	101.0	101	18.181818181818183	23244244.0
SRR22373311_2							42.08433724557889	47.0	101.0	101	0.0	23244244.0
SRR22373312	40502628	1.0	145	160.963955	79.35	17734731.0						
SRR22373312._STARpass1					80.74	18047042.0						
SRR22373312_1							47.049701121207264	48.0	101.0	101	27.27272727272727	22350869.0
SRR22373312_2							43.30682950307959	48.0	101.0	101	0.0	22350869.0
SRR22373313	59120514	1.0	145	158.831341	83.84	26886389.0						
SRR22373313._STARpass1					84.3	27034610.0						
SRR22373313_1							49.97228507665009	46.0	101.0	101	18.181818181818183	32070286.0
SRR22373313_2							46.43054229667696	46.0	101.0	101	0.0	32070286.0
SRR22373314	57135162	1.0	149	165.012675	81.19	24836883.0						
SRR22373314._STARpass1					82.32	25182884.0						
SRR22373314_1							49.839103535387274	46.0	101.0	101	27.27272727272727	30589912.0
SRR22373314_2							48.01029948119512	46.0	101.0	101	9.090909090909092	30589912.0
