"sample_id","project_id","paper_Purity","paper_purity","paper_SAMP.Purity_Absolute","paper_Absolute.extract.purity","paper_Tumor.purity.from.ABSOLUTE","paper_ABSOLUTE.purity","paper_Purity.ABSOLUTE.calls","paper_ABSOLUTE.Purity.1","paper_Purity.Class..high.or.low.","paper_DNA.hypermethylation.mode.purity","paper_mRNA.Moffitt.clusters..76.High.Purity.Samples.Only...1basal..2classical","paper_Methylation.Clusters..76.High.Purity.Samples.Only.","paper_RPPA.Clusters..76.High.Purity.Samples.Only.","paper_PURITY..ABSOLUTE.","paper_ABSOLUTE_purity","paper_CLONET_purity","paper_avgDNA_purity","paper_ISOpure_purity","paper_DeMix_purity","paper_avgRNA_purity","paper_ABSOLUTE.Purity","paper_purity_A_SNP6","paper_purity_B_Allelic.CapSeg","paper_Purity..FACETS.","paper_AC_purity","paper_AF_purity","paper_SNP_purity","purity","purity_selected"
"TCGA-AO-A12B-01A-11R-A10J-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.917832011056028",0.917832011056028
"TCGA-E2-A15F-01A-11R-A115-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.881120505214667",0.881120505214667
"TCGA-E2-A576-01A-11R-A31O-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.889540967588326",0.889540967588326
"TCGA-AN-A0AR-01A-11R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.95546960340288",0.95546960340288
"TCGA-E9-A1R0-01A-22R-A16F-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.787976729816175",0.787976729816175
"TCGA-AN-A03Y-01A-21R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.849805133447999",0.849805133447999
"TCGA-A7-A4SC-01A-12R-A266-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.771130951994766",0.771130951994766
"TCGA-OL-A5D6-01A-21R-A27Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.745157271344196",0.745157271344196
"TCGA-C8-A3M8-01A-11R-A213-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.882912278061001",0.882912278061001
"TCGA-AO-A129-01A-21R-A10J-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.738768469577652",0.738768469577652
"TCGA-D8-A27P-01A-11R-A16F-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.884226718652754",0.884226718652754
"TCGA-E2-A152-01A-11R-A12D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.754590053201076",0.754590053201076
"TCGA-E9-A1NI-01A-11R-A14D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.812545631992602",0.812545631992602
"TCGA-A2-A0YF-01A-21R-A109-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.815320144633896",0.815320144633896
"TCGA-E9-A1RG-01A-11R-A14D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.818989144619533",0.818989144619533
"TCGA-B6-A0X4-01A-11R-A109-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.985470498427096",0.985470498427096
"TCGA-AO-A0J4-01A-11R-A034-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.756956385374662",0.756956385374662
"TCGA-A7-A425-01A-11R-A24H-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.736163402993387",0.736163402993387
"TCGA-OL-A66N-01A-12R-A31O-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.750440143142301",0.750440143142301
"TCGA-B6-A1KF-01A-11R-A13Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.938243811997227",0.938243811997227
"TCGA-GM-A5PX-01A-12R-A28M-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.770711645321529",0.770711645321529
"TCGA-AO-A0J6-01A-11R-A034-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.843224229696538",0.843224229696538
"TCGA-E2-A156-01A-11R-A12D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.939978234277174",0.939978234277174
"TCGA-D8-A73W-01A-22R-A352-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.700513264356985",0.700513264356985
"TCGA-E2-A107-01A-11R-A10J-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.924751573536806",0.924751573536806
"TCGA-A2-A1G4-01A-11R-A13Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.894255291687069",0.894255291687069
"TCGA-AO-A1KO-01A-31R-A13Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.857080177560951",0.857080177560951
"TCGA-A2-A3XS-01A-11R-A22U-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.826913034744155",0.826913034744155
"TCGA-B6-A0RH-01A-21R-A115-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.814684264459268",0.814684264459268
"TCGA-AO-A03P-01A-11R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.882367779118721",0.882367779118721
"TCGA-OL-A5DA-01A-11R-A27Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.869492407403852",0.869492407403852
"TCGA-A8-A07B-01A-11R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.83068882887509",0.83068882887509
"TCGA-A2-A04R-01A-41R-A109-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.91147103118763",0.91147103118763
"TCGA-A2-A04T-01A-21R-A034-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.826286617672856",0.826286617672856
