"sample_id","organ","tcga_code","best_tcga_overall","best_rho_overall","rho_allowed"
"NG-13640_HL60_lib236384_5767_8","Hematologic-Myeloid","LAML","LAML",0.487232462863631,0.487232462863631
"NG-13640_K_562_RNA_lib206692_5568_1","Hematologic-Myeloid","LAML","ESCA",0.484433098126265,0.211224693606222
"NG-13640_KASUMI_1_RNA_lib206691_5568_1","Hematologic-Myeloid","LAML","SKCM",0.493892780451808,0.478853192410714
"NG-13640_KCL_22_lib259815_5981_7","Hematologic-Myeloid","LAML","LUAD",0.505964929011648,0.41733061934713
"NG-13640_KG_1_lib248391_5885_6","Hematologic-Myeloid","LAML","LAML",0.556166847417359,0.556166847417359
"NG-13640_KU812_lib236377_5767_8","Hematologic-Myeloid","LAML","LUAD",0.514910287799652,0.402231983192274
"NG-13640_LAMA_84_lib259816_5981_7","Hematologic-Myeloid","LAML","LUAD",0.501432164556635,0.397420649139257
"NG-13640_M_07e_lib259810_5981_3","Hematologic-Myeloid","LAML","LUAD",0.472619024467456,0.430430192853328
"NG-13640_ME_1_lib248393_5885_6","Hematologic-Myeloid","LAML","LAML",0.581576936847251,0.581576936847251
"NG-13640_MEGAL_lib259811_5981_3","Hematologic-Myeloid","LAML","LAML",0.470340093431099,0.470340093431099
"NG-13640_MKPL_1_lib259812_5981_3","Hematologic-Myeloid","LAML","LUAD",0.474897955097628,0.406934267981448
"NG-13640_MOLM13_lib236379_5767_8","Hematologic-Myeloid","LAML","LAML",0.520229783687893,0.520229783687893
"NG-13640_MOLM_20_lib259817_5981_7","Hematologic-Myeloid","LAML","BRCA",0.527362159164608,0.511407550165479
"NG-13640_MONO_MAC_6_lib248394_5885_6","Hematologic-Myeloid","LAML","LUAD",0.507428302218568,0.451354735198664
"NG-13640_MONO_MAC_6_lib248394_5904_3","Hematologic-Myeloid","LAML","SKCM",0.475602536839485,0.459943316552543
"NG-13640_MUTZ_3_lib259806_5981_3","Hematologic-Myeloid","LAML","LAML",0.521590135855838,0.521590135855838
"NG-13640_MUTZ_3_lib259806_5991_5","Hematologic-Myeloid","LAML","LAML",0.523236141948889,0.523236141948889
"NG-13640_NALM_1_lib265127_5989_8","Hematologic-Myeloid","LAML","SKCM",0.456442502859756,0.449133589356414
"NG-13640_NB4_lib236380_5767_8","Hematologic-Myeloid","LAML","LAML",0.496710487845925,0.496710487845925
"NG-13640_OCI_AML_3_lib248392_5885_6","Hematologic-Myeloid","LAML","SKCM",0.490639778400034,0.37663608297827
"NG-13640_OCI_M2_lib259807_5981_3","Hematologic-Myeloid","LAML","UCS",0.535299014649072,0.262626817058456
"NG-13640_SKNO_1_lib259805_5981_3","Hematologic-Myeloid","LAML","LAML",0.537029457812537,0.537029457812537
"NG-13640_SKNO_1_lib259805_5991_5","Hematologic-Myeloid","LAML","LAML",0.528156434815129,0.528156434815129
"NG-13640_TF_1_lib259824_5972_8","Hematologic-Myeloid","LAML","LUAD",0.480126869500282,0.362843752782966
"NG-13640_THP_1_lib248383_5885_5","Hematologic-Myeloid","LAML","SKCM",0.512283777861475,0.417355710634436
"NG-13640_TK_6_lib259820_5981_7","Hematologic-Myeloid","LAML","THYM",0.492367429351615,0.405530316046474
"NG-13640_U_937_lib248395_5885_6","Hematologic-Myeloid","LAML","STAD",0.44348288959823,0.42547295699534
