tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-A7-A13G-01A-11R-A13Q-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A7-A13G-01B-04R-A22O-07	BRCA	BRCA	9	0.111111111111111	RBL_14	RBL	FALSE	56	10
TCGA-A7-A26E-01A-11R-A169-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A7-A26E-01A-11R-A277-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A7-A26E-01B-06R-A277-07	BRCA	BRCA	10	0.1	RBL_14	RBL	FALSE	56	10
TCGA-A7-A26H-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A7-A26I-01A-11R-A169-07	BRCA	BRCA	2	0.5	RBL_14	RBL	FALSE	56	10
TCGA-A7-A26J-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A7-A26J-01A-11R-A277-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A7-A2KD-01A-31R-A21T-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A7-A3IZ-01A-11R-A213-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A7-A3J0-01A-11R-A213-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A7-A3RF-01A-11R-A22K-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A7-A425-01A-11R-A24H-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A7-A426-01A-22R-A24H-07	BRCA	BRCA	1	1	HDQ_P1	BRCA	TRUE	56	10
TCGA-A7-A4SB-01A-21R-A266-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A7-A4SC-01A-12R-A266-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-A7-A4SD-01A-11R-A266-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A7-A4SE-01A-11R-A266-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A7-A4SF-01A-11R-A266-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-A7-A56D-01A-11R-A27Q-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A7-A5ZV-01A-11R-A28M-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-A7-A5ZW-01A-12R-A29R-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A7-A5ZX-01A-12R-A29R-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-A7-A6VV-01A-22R-A33J-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A7-A6VW-01A-21R-A33J-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-A7-A6VX-01A-12R-A33J-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-A7-A6VY-01A-12R-A33J-07	BRCA	BRCA	1	1	HDQ_P1	BRCA	TRUE	56	10
TCGA-A8-A06N-01A-11R-A00Z-07	BRCA	BRCA	1	1	IPH_926	BRCA	TRUE	56	10
TCGA-A8-A06O-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
