sample_id,organ,sample_name,Cell_Line,group1,group2,Disease,Origin,Stage,Primary.Metastatic,MYCN.amplification
NG-13640_KASUMI_1_RNA_lib206691_5568_1,Hematologic-Myeloid,NG-13640_KASUMI_1_RNA_lib206691_5568_1,KASUMI-1,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_KCL_22_lib259815_5981_7,Hematologic-Myeloid,NG-13640_KCL_22_lib259815_5981_7,KCL-22,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_KG_1_lib248391_5885_6,Hematologic-Myeloid,NG-13640_KG_1_lib248391_5885_6,KG-1,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_KU812_lib236377_5767_8,Hematologic-Myeloid,NG-13640_KU812_lib236377_5767_8,KU-812,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_LAMA_84_lib259816_5981_7,Hematologic-Myeloid,NG-13640_LAMA_84_lib259816_5981_7,LAMA-84,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_M_07e_lib259810_5981_3,Hematologic-Myeloid,NG-13640_M_07e_lib259810_5981_3,M-07e,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-13640_ME_1_lib248393_5885_6,Hematologic-Myeloid,NG-13640_ME_1_lib248393_5885_6,ME-1,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_MEGAL_lib259811_5981_3,Hematologic-Myeloid,NG-13640_MEGAL_lib259811_5981_3,MEGAL,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-13640_MKPL_1_lib259812_5981_3,Hematologic-Myeloid,NG-13640_MKPL_1_lib259812_5981_3,MKPL-1,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-13640_MOLM13_lib236379_5767_8,Hematologic-Myeloid,NG-13640_MOLM13_lib236379_5767_8,MOLM-13,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_MOLM_20_lib259817_5981_7,Hematologic-Myeloid,NG-13640_MOLM_20_lib259817_5981_7,MOLM-20,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_MONO_MAC_6_lib248394_5885_6,Hematologic-Myeloid,NG-13640_MONO_MAC_6_lib248394_5885_6,MONO-MAC-6,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_MONO_MAC_6_lib248394_5904_3,Hematologic-Myeloid,NG-13640_MONO_MAC_6_lib248394_5904_3,MONO-MAC-6,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_MUTZ_3_lib259806_5981_3,Hematologic-Myeloid,NG-13640_MUTZ_3_lib259806_5981_3,MUTZ-3,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_MUTZ_3_lib259806_5991_5,Hematologic-Myeloid,NG-13640_MUTZ_3_lib259806_5991_5,MUTZ-3,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_NALM_1_lib265127_5989_8,Hematologic-Myeloid,NG-13640_NALM_1_lib265127_5989_8,NALM-1,CML_lympho,LL-100,"Chronic myeloid leukemia, lymphoid blast crisis",NA,NONE,NONE,NONE
NG-13640_NB4_lib236380_5767_8,Hematologic-Myeloid,NG-13640_NB4_lib236380_5767_8,NB-4,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_OCI_AML_3_lib248392_5885_6,Hematologic-Myeloid,NG-13640_OCI_AML_3_lib248392_5885_6,OCI-AML3,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_OCI_M2_lib259807_5981_3,Hematologic-Myeloid,NG-13640_OCI_M2_lib259807_5981_3,OCI-M2,AML_ery,LL-100,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE
NG-13640_SKNO_1_lib259805_5981_3,Hematologic-Myeloid,NG-13640_SKNO_1_lib259805_5981_3,SKNO-1,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_SKNO_1_lib259805_5991_5,Hematologic-Myeloid,NG-13640_SKNO_1_lib259805_5991_5,SKNO-1,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_TF_1_lib259824_5972_8,Hematologic-Myeloid,NG-13640_TF_1_lib259824_5972_8,TF-1,AML_ery,LL-100,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE
NG-13640_THP_1_lib248383_5885_5,Hematologic-Myeloid,NG-13640_THP_1_lib248383_5885_5,THP-1,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_TK_6_lib259820_5981_7,Hematologic-Myeloid,NG-13640_TK_6_lib259820_5981_7,TK-6,CML_lympho,LL-100,"Chronic myeloid leukemia, lymphoid blast crisis",NA,NONE,NONE,NONE
NG-13640_U_937_lib248395_5885_6,Hematologic-Myeloid,NG-13640_U_937_lib248395_5885_6,U-937,AML_mono,LL-100,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE
NG-13640_UT_7_lib259813_5981_7,Hematologic-Myeloid,NG-13640_UT_7_lib259813_5981_7,UT-7,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-30919_RBL_13_lib628469_10098_1,Uveal/Eye,NG-30919_RBL_13_lib628469_10098_1,RBL-13,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_14_lib628470_10098_1,Uveal/Eye,NG-30919_RBL_14_lib628470_10098_1,RBL-14,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_15_lib626622_10098_2,Uveal/Eye,NG-30919_RBL_15_lib626622_10098_2,RBL-15,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_15_lib626622_10102_4,Uveal/Eye,NG-30919_RBL_15_lib626622_10102_4,RBL-15,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_18_lib626623_10098_1,Uveal/Eye,NG-30919_RBL_18_lib626623_10098_1,RBL-18,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_20_lib626624_10098_1,Uveal/Eye,NG-30919_RBL_20_lib626624_10098_1,RBL-20,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_20_lib626624_10102_3,Uveal/Eye,NG-30919_RBL_20_lib626624_10102_3,RBL-20,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_30_lib628471_10098_1,Uveal/Eye,NG-30919_RBL_30_lib628471_10098_1,RBL-30,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_RBL_7_lib628468_10098_1,Uveal/Eye,NG-30919_RBL_7_lib628468_10098_1,RBL-7,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_WERI_RB1_lib628472_10098_1,Uveal/Eye,NG-30919_WERI_RB1_lib628472_10098_1,WERI-RB1,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
NG-30919_Y_79_lib626626_10098_1,Uveal/Eye,NG-30919_Y_79_lib626626_10098_1,Y-79,Retinoblastoma,Retinoblastoma,NONE,NONE,NONE,NONE,NONE
