id	filename	md5	size	state
43e2d941-8772-4c7e-b1e0-f3eec11ac4c6	e9ca0fd8-43ca-48a2-b114-909cb5d9a442.rna_seq.augmented_star_gene_counts.tsv	5966621fa116afc1932e810037cc5425	4279248	released
27a083ee-3445-4cde-8ef8-d97e6973075f	29cf1337-b0d1-4f6d-8e12-202e9685f704.rna_seq.augmented_star_gene_counts.tsv	2931f46216d524a6c2f3967383fd0436	4279140	released
2ad04cac-9a3f-40ae-909c-e0c2760a8815	fe590825-6960-497d-8db1-00a65c36c259.rna_seq.augmented_star_gene_counts.tsv	a1454bf07091b8f611751dd725a79903	4270915	released
4d91669f-91f3-4244-9653-d629333110d2	513b2a51-c26f-4ed6-90aa-cf56073ffb9b.rna_seq.augmented_star_gene_counts.tsv	9d1c39d4ec15f67836e7b52960da7e13	4251567	released
bf25beb0-9446-408f-b1f3-c32e0bd223d3	1fec633d-4f96-4b9c-b161-648984cf8a91.rna_seq.augmented_star_gene_counts.tsv	d6caa45c6003794bab153ac129726d45	4256835	released
c0104b35-637e-4871-9246-e52b905ee4e1	99efd5d4-7c98-4bfc-a612-a321f0a4390a.rna_seq.augmented_star_gene_counts.tsv	5fda55926a33d7ca621317ed3b63c4fb	4227871	released
7d6ef3fb-8c4c-456e-abce-f9a9c712904b	d1d037c4-899f-409c-beb1-ef897a12d03b.rna_seq.augmented_star_gene_counts.tsv	34c8d74bbe1ec06301068b2025cd0cdc	4240475	released
31b1b0d4-bb38-4151-a215-5b2408c313ea	dcacd9a2-22af-487c-811b-e11791f317a7.rna_seq.augmented_star_gene_counts.tsv	cdcaed820a366f2f319d20e64d2145b8	4268743	released
5d0732e5-a6c1-43c5-ab71-2911ecab3a6e	c1c0ea05-d0c8-4467-916a-9902b1336bf6.rna_seq.augmented_star_gene_counts.tsv	9e91855af33cd2c824defc0290c94d57	4235288	released
b11b1553-215c-49b4-8d6b-bbce1cc3ee37	94df48cb-27fc-4607-81cd-b65d74caf0a2.rna_seq.augmented_star_gene_counts.tsv	e6900d352ee1243f48f4d8daac3cda89	4294802	released
bd2664e8-d7e2-436d-a97b-2192c3ff0c2f	ebac3706-61fa-4311-8c30-9272ff410be0.rna_seq.augmented_star_gene_counts.tsv	6e31f3db9716ca36b17f2dba3333499e	4269291	released
14947fd3-4a7a-4c0c-aac0-e3dadcef5e02	ff28e0f7-a73d-46fa-a2e7-27f616f1bd6b.rna_seq.augmented_star_gene_counts.tsv	e1a6a6b1e0c9db6fd110997979a9e052	4245371	released
923d4ae4-76a0-4f05-874f-fcd2e4bedfd7	bb6ddfda-3f6d-465f-b707-7a19e16fecb1.rna_seq.augmented_star_gene_counts.tsv	19cda9e2aacbb3653ac4530b824d1971	4275299	released
8397b2ce-fdde-454d-b76a-2877be305b2a	dceab63f-e8a7-42ae-a8cb-9bbc01c0d6bf.rna_seq.augmented_star_gene_counts.tsv	e4217542c4b8cdc299a0d60b576b3448	4259725	released
e0620b98-af31-47e3-88f7-934d5b75ef8c	b4de9ff8-1ab4-4118-87df-8bea29fe3d29.rna_seq.augmented_star_gene_counts.tsv	66610fe064140ab57f9fae19afc274c9	4273669	released
d773178a-ba85-4c3a-928e-41a72732b045	1ad2c3a2-e621-495c-87bd-473ec20facd1.rna_seq.augmented_star_gene_counts.tsv	cd0f7d69e64068a7369e6f7aa1791763	4277750	released
7932ede4-c035-4903-b0b7-37e39d73d08a	f8bec064-a0b3-494a-80ab-9b1b9b223e8e.rna_seq.augmented_star_gene_counts.tsv	b9b6a394d97dbeaa47404e69fed84f83	4263261	released
8c415493-859b-4c04-a2db-5f9ce3562172	09c892f3-21fc-40a0-89f2-8f1861042c0b.rna_seq.augmented_star_gene_counts.tsv	c22e5f481d733659fb999f67a0769247	4261850	released
707bffc7-10bd-42ab-8b19-29f2f0b755f9	c2a436a7-f1f3-4ca4-8030-c6ca0c2c702e.rna_seq.augmented_star_gene_counts.tsv	fc25d58e39a5abfe4258db84baf56fa1	4266427	released
2fbd9d46-d159-49d4-863d-0e8c961a5bd9	a1b9ec8a-8f92-4fe5-ac9a-1ab98b48c3f0.rna_seq.augmented_star_gene_counts.tsv	858588dad50284d784010d30d64f95a0	4283547	released
20511209-942c-40c5-8e0e-ddbf2d6b4a41	f5510ab5-4f39-4670-b012-3c22ff3fada6.rna_seq.augmented_star_gene_counts.tsv	ee94b5d1335e694e9a095bd8d40d58a0	4276314	released
a80cf177-d758-458b-a41a-06060860850b	faa74473-f4b2-42af-abbe-7b246de5eaa0.rna_seq.augmented_star_gene_counts.tsv	aa7b35f789c4a1e46a50f50d7f1bd4c0	4270319	released
fa615f96-1a2e-4b14-a353-58d7440bba09	0aa165ab-dcf1-4134-a18f-820a665113b0.rna_seq.augmented_star_gene_counts.tsv	aef5f397d8f3f6eb8cf87d90305ae7bf	4259724	released
de3ca0b1-c149-4637-9a72-30d62e85f83a	f9a4fa1c-aee1-4062-b769-c56153a45e7b.rna_seq.augmented_star_gene_counts.tsv	b569c6c6d17aca19b31036487f704afb	4258123	released
046fc7b4-85f4-4d58-8b35-f07af7e19754	53a8e4d0-5f47-4bef-9e63-79ad1868b8e0.rna_seq.augmented_star_gene_counts.tsv	256509805fdec07db215c6ca0b97fc1c	4272595	released
24c59b3c-1ce6-490e-a350-36055a21c6a3	ec591c2f-127f-4070-916f-49bd0113a5a1.rna_seq.augmented_star_gene_counts.tsv	cc3ac9cc460afff4af9559e02173921f	4265068	released
5ccb0324-8d16-4b9b-8ff0-0bb06173e86d	2db92238-d815-44e3-8d37-8caf70b97155.rna_seq.augmented_star_gene_counts.tsv	685d7e41d3c5aef9d334160ee821e193	4274036	released
03810211-a528-4f8e-910f-4223cebcb641	a1ca3ae6-c2aa-4682-8213-ae547e9ee4ed.rna_seq.augmented_star_gene_counts.tsv	6e0b303b35f2660dff2d6c34a6eb0b40	4231335	released
9a745606-2e1f-4636-b7f5-c9a1afc8c99c	ef755c86-1263-43ee-80c4-5ea682ed1efb.rna_seq.augmented_star_gene_counts.tsv	a62c852ab4b9a6f946e40b0681d02545	4260843	released
fa004817-ec19-4770-8b53-a33ae687b93a	182e9640-6986-458b-84cb-0f89816864ed.rna_seq.augmented_star_gene_counts.tsv	aaca47427bcb8dffc82772123792e1cf	4262466	released
f9398ace-1d1c-484a-a28e-9aa82de71ed1	c96b4c27-6939-4d9f-976b-cab9a1a4ca73.rna_seq.augmented_star_gene_counts.tsv	fc32fd1f7c2b1f158524cbcc29ae86b8	4247808	released
c7ab28a1-88ff-478e-9fbe-a55f2599bae7	d446d1fc-4a0a-484b-85b5-acffced030cb.rna_seq.augmented_star_gene_counts.tsv	da22e475caf70a2d20237e80ccbc3de7	4220123	released
c92004e1-f704-469f-8140-6795e2e503e4	62c9e14e-19aa-451e-9c37-b90498cf1c8b.rna_seq.augmented_star_gene_counts.tsv	0c1cdf96df6d738493c1f7d4a060ba52	4270006	released
04abdf13-fc0e-4b6c-a775-1d20d4d17bf2	fa17eed3-2280-42a3-a331-6c206a49ab32.rna_seq.augmented_star_gene_counts.tsv	259dce7c34fdb6b0ffd46cb07a1503eb	4259331	released
bd83eb1b-bf73-445b-a24a-98e5ec27e054	220f9c13-554d-4e80-85a4-3d904c247ee1.rna_seq.augmented_star_gene_counts.tsv	ecdc55f982441dc008fc825fd29daf01	4256227	released
4c725468-baba-4f2e-bd44-d84e6ebb29a7	a123e5e0-deb1-4a48-a626-2f89045ae350.rna_seq.augmented_star_gene_counts.tsv	f26e2dd02ac30b9556abbdd5f552c23f	4279476	released
de6d5bc1-e4d5-4371-9a94-7591d6d2605f	ff6f2a1b-d45d-4f34-8258-869ed1538c55.rna_seq.augmented_star_gene_counts.tsv	2cb046c88e4bfad7ca0016ff63fbf097	4233914	released
c72ab93d-99a3-4653-bcd0-5e3dc8596374	17ed9f29-565f-48d9-a018-304cf5363a33.rna_seq.augmented_star_gene_counts.tsv	71f20482e6b77ede779972e529f14a0a	4259481	released
a32a53a1-8c00-4500-9e8d-b2c6ee9f5c2a	00f11140-d80f-4522-9475-2aecb8c1812a.rna_seq.augmented_star_gene_counts.tsv	d4c5812ba796aa119b66364747b88b20	4277876	released
38c0990d-2af6-40c6-94c8-da8638ed6aa1	35f2dc98-322b-4686-ab75-4fd34591c25b.rna_seq.augmented_star_gene_counts.tsv	4ea48a0c522ba59f050432122defc6a9	4253796	released
c1ad3e17-d7f0-4897-bab4-1c66d8e9078d	599d20ba-f18d-48b2-83b9-1d88f49864c9.rna_seq.augmented_star_gene_counts.tsv	7fd9120eeecaba52a3dd5ca4818d47fd	4263482	released
f3ed46b1-ad4d-4b82-970d-307c3d0d813c	c1aaa049-cedc-44bd-b61b-e7542bd73228.rna_seq.augmented_star_gene_counts.tsv	425e6cc6aff836fc5a8f928d44bb18ce	4277633	released
bdd7890c-28d9-4a87-a2f7-aef216352d50	5c98f707-991e-4343-af6e-d544b6bfbd6c.rna_seq.augmented_star_gene_counts.tsv	946d548fc169a6ea64b7de5fc828c530	4265456	released
a735c368-d0f4-4f54-9c70-c15b0c2fb447	2d15b4f0-2467-42d4-adb0-f3d39f843f0b.rna_seq.augmented_star_gene_counts.tsv	c508fa6936ee45cec1ae8a883bfb7368	4262826	released
011d9a43-3bc4-4cfc-b2c6-3fbe1108a5c1	de68b3ce-4e12-4473-bde1-39b07f783fea.rna_seq.augmented_star_gene_counts.tsv	a7a7eca6498ee6fda59665eeb4570f7f	4262500	released
307d5cb6-3177-4416-be08-fe06962148c2	9f0f9221-8b60-4be9-9ba3-118451f903ff.rna_seq.augmented_star_gene_counts.tsv	f20d1136f5f4d40c75575db31df6c311	4250962	released
f31f91f2-f715-429e-9154-9319a7af92d2	5b1a0ee0-4f10-4afc-b017-52d6aaebf881.rna_seq.augmented_star_gene_counts.tsv	2ca92619196d4100c9fb9e6465d42425	4268260	released
f7a6db9b-ab73-497a-a2e0-7de2570a91a7	10541f32-0157-42c8-a4dc-1f7edd362432.rna_seq.augmented_star_gene_counts.tsv	2a855a2062662bdd4fc00c2b88250ce8	4249595	released
3d58cd38-25b6-40a0-9922-8130d881a0c6	eafe8220-0762-415e-905a-3c72476dfc86.rna_seq.augmented_star_gene_counts.tsv	e42dd282054fb232e6b3714fcf95f5e9	4265667	released
54134ecb-b31b-4e5d-8eb7-a49da971c3cf	69cb972a-66a9-4da3-add6-8bc3043b06a7.rna_seq.augmented_star_gene_counts.tsv	2ad1ca0dc0a622c83e45f6faa6f18e84	4256607	released
3e2660be-55fb-4199-9a83-76aa169b5691	396dbec6-00e7-4ffc-9fa8-648939548bc4.rna_seq.augmented_star_gene_counts.tsv	0f932ca658d7eba22b14589482017171	4272406	released
d3c3f794-ac6a-4322-84f7-59d1b2970fcf	de8fcb09-0cf7-4872-b7b5-3690c143c408.rna_seq.augmented_star_gene_counts.tsv	cf711fb013ba310d91a13c44c830b45f	4253420	released
eef57d28-77f6-419f-99de-660dbc796170	bcf062c2-e30f-45ea-b41f-dc0483363cb5.rna_seq.augmented_star_gene_counts.tsv	84c430b8d890c063fdd6ffd6d5022c16	4241728	released
8bd8582a-9c30-4a37-a4fd-7f9a5d34299e	a53de3f2-9fa3-4099-a5bc-6103e98ba587.rna_seq.augmented_star_gene_counts.tsv	393f6b8acb2b5a3530a8a9c5082629fa	4241806	released
d7bbc752-dce7-45f1-8c92-cd447ff288ff	c6c370a8-1db5-4e70-a6e3-3d2b4907fc22.rna_seq.augmented_star_gene_counts.tsv	b48878ad978950fa8ca506f91e557010	4263546	released
08166529-ec04-4c97-b2a6-1aef4c86edcf	d79b3533-7bef-4f50-8056-4f1bb30255fe.rna_seq.augmented_star_gene_counts.tsv	e4afb37d0c9fd7d1dcf8eb5e33064449	4259487	released
8b9875f0-61b8-453c-a2f0-308d6e92ddb3	ce30add8-e0fc-4504-8c32-3edc8dde26ab.rna_seq.augmented_star_gene_counts.tsv	5e73fea8626a5e3d9dcf21c0e7d1b43c	4256536	released
7c384a5f-0775-43e2-a155-4e3970f3b9fe	beb3aafe-713e-4205-933c-21cb757eb160.rna_seq.augmented_star_gene_counts.tsv	aff3ac4dc05faaaac8bccb0ec26ce0ad	4251637	released
9173009d-aaba-4426-826f-da2bf30135dd	3b4efc48-5084-4d91-b28b-01c208d9aa99.rna_seq.augmented_star_gene_counts.tsv	fbe7692f5e15ad404f4187fe34879135	4261119	released
ed13ccf1-aca7-4380-8ae1-20bbbeea982f	893ed305-c9e1-4d45-9230-db54d8c24bb9.rna_seq.augmented_star_gene_counts.tsv	837a8ae73bc7018ea0de43d8e2455faf	4244247	released
