analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PAPTAN-01A-01R	Primary Tumor	TARGET-30-PAPTAN-01A	Tumor	TARGET-30-PAPTAN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	90429b53-4d4d-40fe-af4f-1fba5328e5ba	e5956ed4-49ee-4b97-942d-34b2ce25dc98.rna_seq.augmented_star_gene_counts.tsv	90429b53-4d4d-40fe-af4f-1fba5328e5ba
STAR - Counts	TARGET-NBL	TARGET-30-PAPTFZ-01A-01R	Primary Tumor	TARGET-30-PAPTFZ-01A	Tumor	TARGET-30-PAPTFZ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	d138d5ee-647b-4ed1-af2c-edce66925d7d	aa1af337-e192-4f8a-85ff-17fc19d0f1d9.rna_seq.augmented_star_gene_counts.tsv	d138d5ee-647b-4ed1-af2c-edce66925d7d
STAR - Counts	TARGET-NBL	TARGET-30-PANZPV-01A-01R	Primary Tumor	TARGET-30-PANZPV-01A	Tumor	TARGET-30-PANZPV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a363c423-89b2-41fe-9cf6-da9990686e5e	95d8efc2-71e0-4e40-94ee-b55b747fe20e.rna_seq.augmented_star_gene_counts.tsv	a363c423-89b2-41fe-9cf6-da9990686e5e
STAR - Counts	TARGET-NBL	TARGET-30-PAPEFE-01A-01R	Primary Tumor	TARGET-30-PAPEFE-01A	Tumor	TARGET-30-PAPEFE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6aac9fd3-8553-4479-a2e2-1624270a8c01	5e8d18de-43f9-4aa1-bf2d-fe108454ccfb.rna_seq.augmented_star_gene_counts.tsv	6aac9fd3-8553-4479-a2e2-1624270a8c01
STAR - Counts	TARGET-NBL	TARGET-30-PASXRG-01A-01R	Primary Tumor	TARGET-30-PASXRG-01A	Tumor	TARGET-30-PASXRG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6d1d1139-4cd5-459b-9c9e-851907ca5854	fdf66027-3004-42d0-b633-1d7bf230f8a1.rna_seq.augmented_star_gene_counts.tsv	6d1d1139-4cd5-459b-9c9e-851907ca5854
STAR - Counts	TARGET-NBL	TARGET-30-PAPKWN-01A-01R	Primary Tumor	TARGET-30-PAPKWN-01A	Tumor	TARGET-30-PAPKWN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	ac796c34-f807-41b4-bd8b-cc84d09f387e	1eeac76c-312b-450d-9f23-d3c0ca09fe92.rna_seq.augmented_star_gene_counts.tsv	ac796c34-f807-41b4-bd8b-cc84d09f387e
STAR - Counts	TARGET-NBL	TARGET-30-PAPBJE-01A-01R	Primary Tumor	TARGET-30-PAPBJE-01A	Tumor	TARGET-30-PAPBJE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	e905663d-b6fd-4366-82d5-cbbe5e6bab30	18ecaf97-8c5f-4aac-9ea7-372a7d8162c3.rna_seq.augmented_star_gene_counts.tsv	e905663d-b6fd-4366-82d5-cbbe5e6bab30
STAR - Counts	TARGET-NBL	TARGET-30-PATHVK-01A-01R	Primary Tumor	TARGET-30-PATHVK-01A	Tumor	TARGET-30-PATHVK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	0c85bacd-9717-4bcb-a977-88c707944169	03318382-7bcb-4f5b-9b3a-7ca2d6563c92.rna_seq.augmented_star_gene_counts.tsv	0c85bacd-9717-4bcb-a977-88c707944169
STAR - Counts	TARGET-NBL	TARGET-30-PALUYS-01A-01R	Primary Tumor	TARGET-30-PALUYS-01A	Tumor	TARGET-30-PALUYS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6f35966f-80df-4024-95dd-22214367fe0d	3f49a39e-c47d-4d74-9f14-f5d0216c1522.rna_seq.augmented_star_gene_counts.tsv	6f35966f-80df-4024-95dd-22214367fe0d
STAR - Counts	TARGET-NBL	TARGET-30-PALVKK-01A-01R	Primary Tumor	TARGET-30-PALVKK-01A	Tumor	TARGET-30-PALVKK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	0687f1f6-2a95-4bb8-a02d-76d897c73e10	ced92c5b-92fc-4ae0-b955-af75337561b8.rna_seq.augmented_star_gene_counts.tsv	0687f1f6-2a95-4bb8-a02d-76d897c73e10
STAR - Counts	TARGET-NBL	TARGET-30-PATESI-01A-01R	Primary Tumor	TARGET-30-PATESI-01A	Tumor	TARGET-30-PATESI	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	4a30850c-3724-46e0-aa27-9d797750f4b5	a9bd2868-d25a-4061-9cf4-571eba140061.rna_seq.augmented_star_gene_counts.tsv	4a30850c-3724-46e0-aa27-9d797750f4b5
STAR - Counts	TARGET-NBL	TARGET-30-PALEVG-01A-01R	Primary Tumor	TARGET-30-PALEVG-01A	Tumor	TARGET-30-PALEVG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	fa34f2e2-a8a9-49df-b565-adf110be84b6	ad779f57-b440-47aa-b25c-4ce423489038.rna_seq.augmented_star_gene_counts.tsv	fa34f2e2-a8a9-49df-b565-adf110be84b6
STAR - Counts	TARGET-NBL	TARGET-30-PALIIN-01A-01R	Primary Tumor	TARGET-30-PALIIN-01A	Tumor	TARGET-30-PALIIN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	90aba782-f6f8-4a27-94b2-d96433c0eb5a	6a43ce86-8edf-4673-b404-7b2db846db0e.rna_seq.augmented_star_gene_counts.tsv	90aba782-f6f8-4a27-94b2-d96433c0eb5a
STAR - Counts	TARGET-NBL	TARGET-30-PASXGP-01A-01R	Primary Tumor	TARGET-30-PASXGP-01A	Tumor	TARGET-30-PASXGP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	1d3cbcf4-2895-48b1-b8af-b5c445b284ba	44d5ca6f-a369-43b9-a52d-1023bad91590.rna_seq.augmented_star_gene_counts.tsv	1d3cbcf4-2895-48b1-b8af-b5c445b284ba
STAR - Counts	TARGET-NBL	TARGET-30-PASSRN-01A-01R	Primary Tumor	TARGET-30-PASSRN-01A	Tumor	TARGET-30-PASSRN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2c795206-c7c2-4426-bafc-fcfcb2e5e430	ca441ec5-d654-488a-98dc-026f0fc70111.rna_seq.augmented_star_gene_counts.tsv	2c795206-c7c2-4426-bafc-fcfcb2e5e430
STAR - Counts	TARGET-NBL	TARGET-30-PASVRU-01A-01R	Primary Tumor	TARGET-30-PASVRU-01A	Tumor	TARGET-30-PASVRU	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	00458c2a-ca84-471e-a759-a5501c7dd4b3	ccb1e9ed-b2bb-4637-89a5-31ffe0946940.rna_seq.augmented_star_gene_counts.tsv	00458c2a-ca84-471e-a759-a5501c7dd4b3
STAR - Counts	TARGET-NBL	TARGET-30-PATDWN-01A-01R	Primary Tumor	TARGET-30-PATDWN-01A	Tumor	TARGET-30-PATDWN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	0f133926-31d7-4b0c-9e7b-22127fb699fb	bf25228b-58c3-4abf-986c-6162cbfafd18.rna_seq.augmented_star_gene_counts.tsv	0f133926-31d7-4b0c-9e7b-22127fb699fb
STAR - Counts	TARGET-NBL	TARGET-30-PASUCB-01A-01R	Primary Tumor	TARGET-30-PASUCB-01A	Tumor	TARGET-30-PASUCB	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9f4ae5cd-dff3-443b-8c18-01c7e3c40f94	b3f6940c-5868-4650-be88-29fcf064d257.rna_seq.augmented_star_gene_counts.tsv	9f4ae5cd-dff3-443b-8c18-01c7e3c40f94
STAR - Counts	TARGET-NBL	TARGET-30-PAIFXV-01A-01R	Primary Tumor	TARGET-30-PAIFXV-01A	Tumor	TARGET-30-PAIFXV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	dd97c6e6-ab71-40d2-94f7-a37c5a3f83cb	0d47e87f-7ff7-45ec-a940-74bb12e4ebc9.rna_seq.augmented_star_gene_counts.tsv	dd97c6e6-ab71-40d2-94f7-a37c5a3f83cb
STAR - Counts	TARGET-NBL	TARGET-30-PAPHPE-01A-01R	Primary Tumor	TARGET-30-PAPHPE-01A	Tumor	TARGET-30-PAPHPE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	d86be5f6-f51b-488d-a367-4f82ea7c3b1d	4493ee36-28d5-4839-a852-55b54fc50347.rna_seq.augmented_star_gene_counts.tsv	d86be5f6-f51b-488d-a367-4f82ea7c3b1d
STAR - Counts	TARGET-NBL	TARGET-30-PASXHE-01A-01R	Primary Tumor	TARGET-30-PASXHE-01A	Tumor	TARGET-30-PASXHE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	e39eeef8-84bf-4e04-abbb-021ad6fa55db	ced4541a-4fdb-40ee-b5ab-93f70a0e6e14.rna_seq.augmented_star_gene_counts.tsv	e39eeef8-84bf-4e04-abbb-021ad6fa55db
STAR - Counts	TARGET-NBL	TARGET-30-PAPUEB-01A-01R	Primary Tumor	TARGET-30-PAPUEB-01A	Tumor	TARGET-30-PAPUEB	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	3eb7a1db-e829-41c9-8ce2-cac65a291eaa	91b757a1-868f-4b58-a4da-c81ce1a588ee.rna_seq.augmented_star_gene_counts.tsv	3eb7a1db-e829-41c9-8ce2-cac65a291eaa
STAR - Counts	TARGET-NBL	TARGET-30-PAMEZH-01A-01R	Primary Tumor	TARGET-30-PAMEZH-01A	Tumor	TARGET-30-PAMEZH	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	bb2d6fc8-fca7-41db-b511-dd1683f9a117	cee28541-03c7-496e-9a3b-daab8b7437e5.rna_seq.augmented_star_gene_counts.tsv	bb2d6fc8-fca7-41db-b511-dd1683f9a117
