analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PARBAJ-02A-01R	Recurrent Tumor	TARGET-30-PARBAJ-02A	Tumor	TARGET-30-PARBAJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	ec78e030-909c-4d52-ab39-522e30b9bbf4	012e9815-bdd1-4653-8598-d2741a33eb1e.rna_seq.augmented_star_gene_counts.tsv	ec78e030-909c-4d52-ab39-522e30b9bbf4
STAR - Counts	TARGET-NBL	TARGET-30-PATHKB-01A-01R	Primary Tumor	TARGET-30-PATHKB-01A	Tumor	TARGET-30-PATHKB	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	80a39173-599d-43d3-94f9-066cc2261c45	56b2ea78-67c5-4f3d-baee-6d2fd71971a3.rna_seq.augmented_star_gene_counts.tsv	80a39173-599d-43d3-94f9-066cc2261c45
STAR - Counts	TARGET-NBL	TARGET-30-PANGXK-01A-01R	Primary Tumor	TARGET-30-PANGXK-01A	Tumor	TARGET-30-PANGXK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	95180ba5-5c31-49a5-89e8-ef8574044d9a	c9dc633b-5c74-46a1-8965-38508959bc11.rna_seq.augmented_star_gene_counts.tsv	95180ba5-5c31-49a5-89e8-ef8574044d9a
STAR - Counts	TARGET-NBL	TARGET-30-PATGJU-01A-01R	Primary Tumor	TARGET-30-PATGJU-01A	Tumor	TARGET-30-PATGJU	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	adadf6ed-1877-4529-b64a-41fd47fcf561	67904af5-54d8-4c97-a850-c92a390c6324.rna_seq.augmented_star_gene_counts.tsv	adadf6ed-1877-4529-b64a-41fd47fcf561
STAR - Counts	TARGET-NBL	TARGET-30-PATAYJ-01A-01R	Primary Tumor	TARGET-30-PATAYJ-01A	Tumor	TARGET-30-PATAYJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	dc85e1a1-79b0-4059-bb98-237ec8f003d8	3159727f-1996-4ef3-bcd5-3f01b2539b70.rna_seq.augmented_star_gene_counts.tsv	dc85e1a1-79b0-4059-bb98-237ec8f003d8
STAR - Counts	TARGET-NBL	TARGET-30-PAIVHE-01A-01R	Primary Tumor	TARGET-30-PAIVHE-01A	Tumor	TARGET-30-PAIVHE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	daec6a48-5dd1-4a54-b32f-a98026693e15	3323c48c-ca18-4c27-81b1-8bc556b608cf.rna_seq.augmented_star_gene_counts.tsv	daec6a48-5dd1-4a54-b32f-a98026693e15
STAR - Counts	TARGET-NBL	TARGET-30-PASUML-01A-01R	Primary Tumor	TARGET-30-PASUML-01A	Tumor	TARGET-30-PASUML	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f946075f-6ef8-4984-b002-900236dbd3be	bbd14b1c-9ca2-4a0d-88fc-9d5b1f275fe1.rna_seq.augmented_star_gene_counts.tsv	f946075f-6ef8-4984-b002-900236dbd3be
STAR - Counts	TARGET-NBL	TARGET-30-PAIPGU-01A-01R	Primary Tumor	TARGET-30-PAIPGU-01A	Tumor	TARGET-30-PAIPGU	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	96561d7f-4d74-457d-8ff2-98d2d7157568	283afbe7-d0d8-4a17-b62c-b4d553075db3.rna_seq.augmented_star_gene_counts.tsv	96561d7f-4d74-457d-8ff2-98d2d7157568
STAR - Counts	TARGET-NBL	TARGET-30-PATYIL-02A-01R	Recurrent Tumor	TARGET-30-PATYIL-02A	Tumor	TARGET-30-PATYIL	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	eaecd8ef-fc93-4bed-80d0-2496f4953c45	e1bfada3-68a0-417a-b12d-56599a4a3e50.rna_seq.augmented_star_gene_counts.tsv	eaecd8ef-fc93-4bed-80d0-2496f4953c45
STAR - Counts	TARGET-NBL	TARGET-30-PAUDDK-01A-01R	Primary Tumor	TARGET-30-PAUDDK-01A	Tumor	TARGET-30-PAUDDK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8c539650-2438-4030-9355-d0fc218c1579	dce50242-0365-4509-af1a-d3d9b4f1374e.rna_seq.augmented_star_gene_counts.tsv	8c539650-2438-4030-9355-d0fc218c1579
