"sample_id","tcga_cohort","rho"
"NG-A0611_LAN6_libLAB6089","ESCA",0.317577188453589
"NG-A0611_LAN6_libLAB6089","GBM",0.529143594491655
"NG-A0611_LAN6_libLAB6089","HNSC",0.272688072993107
"NG-A0611_LAN6_libLAB6089","KICH",0.397952942140939
"NG-A0611_LAN6_libLAB6089","KIRC",0.401797058829972
"NG-A0611_LAN6_libLAB6089","KIRP",0.374220814288314
"NG-A0611_LAN6_libLAB6089","LAML",0.138544003495174
"NG-A0611_LAN6_libLAB6089","LGG",0.545694447562004
"NG-A0611_LAN6_libLAB6089","LIHC",0.307152112007346
"NG-A0611_LAN6_libLAB6089","LUAD",0.34571267597042
"NG-A0611_LAN6_libLAB6089","LUSC",0.333043698720525
"NG-A0611_LAN6_libLAB6089","MESO",0.440216152275308
"NG-A0611_LAN6_libLAB6089","OV",0.422874002121451
"NG-A0611_LAN6_libLAB6089","PAAD",0.39881862448591
"NG-A0611_LAN6_libLAB6089","PCPG",0.665410923761063
"NG-A0611_LAN6_libLAB6089","PRAD",0.464378443257576
"NG-A0611_LAN6_libLAB6089","READ",0.255599313269074
"NG-A0611_LAN6_libLAB6089","SARC",0.562483764565074
"NG-A0611_LAN6_libLAB6089","SKCM",0.454054883666801
"NG-A0611_LAN6_libLAB6089","STAD",0.310582586366236
"NG-A0611_LAN6_libLAB6089","TGCT",0.415724970311084
"NG-A0611_LAN6_libLAB6089","THCA",0.42659855750239
"NG-A0611_LAN6_libLAB6089","THYM",0.327658757938832
"NG-A0611_LAN6_libLAB6089","UCEC",0.431778949630204
"NG-A0611_LAN6_libLAB6089","UCS",0.569011766790851
"NG-A0611_LAN6_libLAB6089","UVM",0.478506276046231
"NG-A0611_LS_libLAB6078","ACC",0.490657400133236
"NG-A0611_LS_libLAB6078","BLCA",0.357966127362247
"NG-A0611_LS_libLAB6078","BRCA",0.499357429805103
"NG-A0611_LS_libLAB6078","CESC",0.282606869689746
"NG-A0611_LS_libLAB6078","CHOL",0.384358040353816
"NG-A0611_LS_libLAB6078","COAD",0.261762091152987
"NG-A0611_LS_libLAB6078","DLBC",0.103531949622599
"NG-A0611_LS_libLAB6078","ESCA",0.369880659883196
"NG-A0611_LS_libLAB6078","GBM",0.528243365414285
"NG-A0611_LS_libLAB6078","HNSC",0.316400156839011
"NG-A0611_LS_libLAB6078","KICH",0.420589879069254
"NG-A0611_LS_libLAB6078","KIRC",0.448331912076666
"NG-A0611_LS_libLAB6078","KIRP",0.395234109333508
"NG-A0611_LS_libLAB6078","LAML",0.0546998980019916
"NG-A0611_LS_libLAB6078","LGG",0.518628067280838
"NG-A0611_LS_libLAB6078","LIHC",0.303732345252938
"NG-A0611_LS_libLAB6078","LUAD",0.348883953618523
