Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NG-13640_SR_786_lib248387_5885_5_1 - polya	(1, 0.008464346737080807)	(2, 0.01370878272622162)	(3, 0.016913433233650053)	(4, 0.021331272861747817)	(5, 0.02408574627408511)	(6, 0.02631628476219204)	(7, 0.03008556416854834)	(8, 0.035686072436292314)	(9, 0.044834586622974903)	(10, 0.06091888012216331)	(15, 0.07919352680944487)	(20, 0.09615019739121103)	(25, 0.11905683574843598)	(30, 0.1392090006933236)	(35, 0.1540597580844939)	(40, 0.1675152208182236)	(45, 0.18290771674755443)	(50, 0.19758247269815804)	(55, 0.21333561897824552)	(60, 0.22774891614141768)	(65, 0.24708821894172264)	(70, 0.2646008709527935)	(75, 0.2792588406388344)	(80, 0.292262091578738)	(85, 0.30536707745538544)	(90, 0.3187879503106222)	(95, 0.3349536317592056)	(100, 0.3511864582660399)	(105, 0.36815431969084783)	(110, 0.38311189876559915)	(115, 0.39533280804194326)	(120, 0.4078874079108069)	(125, 0.42155753136106594)	(130, 0.43765861112481713)	(135, 0.4547210860407967)	(140, 0.46484218622274964)
NG-13640_SR_786_lib248387_5885_5_2 - illumina_universal_adapter	(1, 0.00011953855067391766)	(2, 0.00012462529751110563)	(3, 0.00015260240511563955)	(4, 0.00022636023425486534)	(5, 0.0002695975823709632)	(6, 0.00028740119630112115)	(7, 0.00032555179758003103)	(8, 0.000338268664673001)	(9, 0.00036624577227753496)	(10, 0.00047154143180732624)	(15, 0.0006678898597227824)	(20, 0.0009990370788237203)	(25, 0.0016903259739975674)	(30, 0.0027631208819605133)	(35, 0.004119247588754831)	(40, 0.005910799824812439)	(45, 0.0077857747089999305)	(50, 0.00984336380464247)	(55, 0.012335869754864583)	(60, 0.015223107259652485)	(65, 0.018751783540609787)	(70, 0.023724078573961044)	(75, 0.03131960895125015)	(80, 0.04394491460115073)	(85, 0.06512765445525265)	(90, 0.10071199195480121)	(95, 0.15961652032943804)	(100, 0.25372286284146695)	(105, 0.3963384578916553)	(110, 0.6021818074534067)	(115, 0.8844458981236517)	(120, 1.2575135065845395)	(125, 1.7326934884045062)	(130, 2.323471318123621)	(135, 3.035745078699604)	(140, 3.518108564403047)
NG-13640_SR_786_lib248387_5885_5_2 - polya	(1, 0.015227176657122234)	(2, 0.020545370475402273)	(3, 0.022750475229323264)	(4, 0.02653755824960972)	(5, 0.02910636540238965)	(6, 0.031133434017009066)	(7, 0.03355981225834773)	(8, 0.040009807247902096)	(9, 0.04867762385847042)	(10, 0.06186043696172681)	(15, 0.08565929071419451)	(20, 0.10793262909018955)	(25, 0.12595192108624426)	(30, 0.14224273650702252)	(35, 0.15910479359761695)	(40, 0.17722327715699684)	(45, 0.1968367556118263)	(50, 0.21814259473938816)	(55, 0.24230972896286826)	(60, 0.26118359442757055)	(65, 0.28279565571473114)	(70, 0.3143014396002224)	(75, 0.3377177699905336)	(80, 0.3594692081410331)	(85, 0.38848706414845574)	(90, 0.41168669912350264)	(95, 0.4357790581684761)	(100, 0.4557547129981133)	(105, 0.4759658842063123)	(110, 0.4973795623668226)	(115, 0.5195064024339067)	(120, 0.5426683954823585)	(125, 0.5673508171604457)	(130, 0.5921766850993416)	(135, 0.619868934880993)	(140, 0.6342537462618769)
NG-13640_SUDHL4_lib236389_5774_5_1 - illumina_universal_adapter	(1, 4.326898595101999e-05)	(2, 4.597329757295874e-05)	(3, 0.0001352155810969375)	(4, 0.00035156051085203743)	(5, 0.0005219321430341787)	(6, 0.000616583049802035)	(7, 0.0007274598263015237)	(8, 0.0008221107330693799)	(9, 0.0009005357701056037)	(10, 0.0013272761440475385)	(15, 0.0019416957445520223)	(20, 0.0024317170104473235)	(25, 0.0028946951601232377)	(30, 0.0034139229915354776)	(35, 0.004044568461771594)	(40, 0.004775814324343831)	(45, 0.005554656071462191)	(50, 0.006480612370814019)	(55, 0.007820869210646864)	(60, 0.009751747708711131)	(65, 0.012848184515830998)	(70, 0.017993407807731666)	(75, 0.027520156789497492)	(80, 0.04491807517807824)	(85, 0.077274622872251)	(90, 0.1361994096649988)	(95, 0.24057123498907607)	(100, 0.42041066215962486)	(105, 0.7107228416733448)	(110, 1.1554512147997673)	(115, 1.7953935675297845)	(120, 2.6648557153746633)	(125, 3.789049955585738)	(130, 5.178639388888314)	(135, 6.856297504783048)	(140, 7.958540306696522)
NG-13640_SUDHL4_lib236389_5774_5_1 - polya	(1, 0.00653091256698208)	(2, 0.01308345962693967)	(3, 0.016647742344654944)	(4, 0.021047657353549288)	(5, 0.023630274952500793)	(6, 0.025563857762187)	(7, 0.029769062334301755)	(8, 0.03499379238788742)	(9, 0.043160813486142445)	(10, 0.05737575709570129)	(15, 0.07495161918900561)	(20, 0.09375037099775063)	(25, 0.11970364963349682)	(30, 0.14143008920415273)	(35, 0.15673162522340656)	(40, 0.17058527280027438)	(45, 0.1858132515434115)	(50, 0.20059177369498235)	(55, 0.2167770787522858)	(60, 0.23029701427500635)	(65, 0.25298997481934316)	(70, 0.27462825383112394)	(75, 0.2900011836771969)	(80, 0.3035081385041322)	(85, 0.31740775937857296)	(90, 0.3323615209232455)	(95, 0.3491131088341829)	(100, 0.3647732365745058)	(105, 0.3800834263909499)	(110, 0.39435299709527183)	(115, 0.40618057440498323)	(120, 0.4181547254046035)	(125, 0.43089690090485455)	(130, 0.4464786036081412)	(135, 0.4633572941653098)	(140, 0.4730517104676358)
NG-13640_SUDHL4_lib236389_5774_5_2 - illumina_universal_adapter	(1, 4.056467432908125e-05)	(2, 4.326898595101999e-05)	(3, 0.00013251126947499874)	(4, 0.0003434475759862212)	(5, 0.0005138192081683624)	(6, 0.00060576580331428)	(7, 0.0007220512030576461)	(8, 0.0008194064214474411)	(9, 0.0008978314584836649)	(10, 0.0013332256296158037)	(15, 0.0020120078467224297)	(20, 0.002684840578260791)	(25, 0.003615664638532108)	(30, 0.004787713295480363)	(35, 0.006222621042081063)	(40, 0.007895508211412374)	(45, 0.009574344866311948)	(50, 0.011547951488002849)	(55, 0.013963983491042928)	(60, 0.016940889724473104)	(65, 0.02108551771625643)	(70, 0.02744659951338076)	(75, 0.03808211626014148)	(80, 0.056588261551392724)	(85, 0.08982749655896628)	(90, 0.14982210902935306)	(95, 0.25548551358406824)	(100, 0.4365873134197381)	(105, 0.7280693781411087)	(110, 1.174384641327285)	(115, 1.8161215752496207)	(120, 2.6882469291797846)	(125, 3.816089285768855)	(130, 5.209003399779442)	(135, 6.887838432092044)	(140, 7.990416027784314)
NG-13640_SUDHL4_lib236389_5774_5_2 - polya	(1, 0.008418522079095327)	(2, 0.01222348853116315)	(3, 0.013732494416204971)	(4, 0.015482184035599342)	(5, 0.017264325394456978)	(6, 0.018375797471073804)	(7, 0.020406735499149804)	(8, 0.024933753154275273)	(9, 0.032649154211666524)	(10, 0.04173401867440756)	(15, 0.06024016396565881)	(20, 0.0777695118990658)	(25, 0.09255019749993423)	(30, 0.10688413082085838)	(35, 0.12095141901585935)	(40, 0.13679814425809605)	(45, 0.15541678891281993)	(50, 0.1746293003997216)	(55, 0.19810056182885238)	(60, 0.21487270250811652)	(65, 0.23303377763640837)	(70, 0.26342158646980973)	(75, 0.2840765777758535)	(80, 0.3033869853434693)	(85, 0.3300769184650316)	(90, 0.3493024106477186)	(95, 0.36909905344495897)	(100, 0.3845130888276855)	(105, 0.40027111264872256)	(110, 0.4171038299083182)	(115, 0.4348273474161803)	(120, 0.45273313552736116)	(125, 0.4714421041902579)	(130, 0.4917449941231252)	(135, 0.5135314694117882)	(140, 0.5251773169805052)
NG-13640_SUDHL6_lib236390_5774_5_1 - illumina_universal_adapter	(1, 3.893012742868844e-05)	(2, 4.541848200013652e-05)	(3, 0.00010381367314316918)	(4, 0.00024006911914357872)	(5, 0.000350371146858196)	(6, 0.0004120105152869527)	(7, 0.0004931149474300536)	(8, 0.0005482659612873622)	(9, 0.0005969286205732227)	(10, 0.0009226440200599161)	(15, 0.0013417917253754617)	(20, 0.0016967047204336713)	(25, 0.0021184477675777963)	(30, 0.0026219440823221666)	(35, 0.0034141721754959763)	(40, 0.004286855865355743)	(45, 0.005031070134700837)	(50, 0.005894670128160575)	(55, 0.0070528414191640566)	(60, 0.008834543584483694)	(65, 0.011634268582063543)	(70, 0.01653946463807828)	(75, 0.02578926291513466)	(80, 0.04380093520547451)	(85, 0.07913391885975213)	(90, 0.14425753369337643)	(95, 0.26125813866755665)	(100, 0.45838019006726344)	(105, 0.7757736259806175)	(110, 1.2525820407017076)	(115, 1.9185681654852236)	(120, 2.797370373705865)	(125, 3.8957560191816527)	(130, 5.212083548206008)	(135, 6.73307584081938)	(140, 7.726264495957365)
NG-13640_SUDHL6_lib236390_5774_5_1 - polya	(1, 0.003506955645867684)	(2, 0.009453532610599844)	(3, 0.013184336489182486)	(4, 0.01846910128762694)	(5, 0.02111959413006348)	(6, 0.0237408893769285)	(7, 0.02814323795365602)	(8, 0.03445316277438927)	(9, 0.04411107855398973)	(10, 0.05992774049280869)	(15, 0.0796834824919538)	(20, 0.10061815851673099)	(25, 0.12812229354509938)	(30, 0.15129674956794048)	(35, 0.16861806093187823)	(40, 0.18409603076206765)	(45, 0.20201232424020715)	(50, 0.21924344747560184)	(55, 0.23720451060028439)	(60, 0.252212723559501)	(65, 0.27340888027350746)	(70, 0.2942085985231986)	(75, 0.3106565773618194)	(80, 0.3253883864162923)	(85, 0.3405886546708237)	(90, 0.35649939775092865)	(95, 0.37552909287352876)	(100, 0.39367182992621186)	(105, 0.41206112445261)	(110, 0.4286972655738028)	(115, 0.44201850634444284)	(120, 0.4552249032391682)	(125, 0.4699353007235554)	(130, 0.4879476218493524)	(135, 0.5071155189243243)	(140, 0.5188250524194166)
NG-13640_SUDHL6_lib236390_5774_5_2 - illumina_universal_adapter	(1, 4.2174304714412475e-05)	(2, 4.541848200013652e-05)	(3, 0.00010056949585744514)	(4, 0.0002465574737150268)	(5, 0.00035685950142964407)	(6, 0.0004152546925726767)	(7, 0.0004996033020015017)	(8, 0.0005579984931445343)	(9, 0.0006066611524303949)	(10, 0.0009278347037170745)	(15, 0.0013761800046041364)	(20, 0.001876432142062783)	(25, 0.002673850918893751)	(30, 0.003792443247011399)	(35, 0.005310069381273104)	(40, 0.006942539391449438)	(45, 0.008699585809397578)	(50, 0.010502050709345854)	(55, 0.01266656579438093)	(60, 0.015550639401389598)	(65, 0.019415752219601214)	(70, 0.025366222197076245)	(75, 0.03562820378727852)	(80, 0.05477923114036465)	(85, 0.09108936099310236)	(90, 0.15715703141687237)	(95, 0.27520226147705573)	(100, 0.4728836090408214)	(105, 0.789988962011203)	(110, 1.2657125238479474)	(115, 1.9299383580362293)	(120, 2.8065812418554934)	(125, 3.9011763905906407)	(130, 5.211430170900664)	(135, 6.722210442254033)	(140, 7.708155498348455)
NG-13640_SUDHL6_lib236390_5774_5_2 - polya	(1, 0.015598004389761168)	(2, 0.02086330412449128)	(3, 0.022790345432211357)	(4, 0.026764462607223302)	(5, 0.029324118485659568)	(6, 0.031186276247665165)	(7, 0.033580479084529505)	(8, 0.039737927572833724)	(9, 0.04870158941328924)	(10, 0.06168154273347111)	(15, 0.08538220431205665)	(20, 0.10731608694083686)	(25, 0.12596880866283575)	(30, 0.14246739666711392)	(35, 0.1589199173539348)	(40, 0.17795350548927774)	(45, 0.19880188639825466)	(50, 0.22084088037109234)	(55, 0.24671968257931304)	(60, 0.2664072968554579)	(65, 0.287749441547322)	(70, 0.3170690181847816)	(75, 0.3406412103428524)	(80, 0.36257119995888976)	(85, 0.3943154746996994)	(90, 0.4179363295170562)	(95, 0.4410244904240971)	(100, 0.45986796977049654)	(105, 0.47893399967869665)	(110, 0.49994458945195985)	(115, 0.5216312657715679)	(120, 0.5427664319526029)	(125, 0.5653653709249565)	(130, 0.589424189675886)	(135, 0.6157669092359651)	(140, 0.6296461484997496)
NG-13640_SUP_HD_1_lib241216_5808_7_1 - illumina_universal_adapter	(1, 0.00011978199326644064)	(2, 0.00012270350529732944)	(3, 0.00016652618576066137)	(4, 0.0002775436429344356)	(5, 0.00034765993167576675)	(6, 0.0003973256362008763)	(7, 0.0004353052926024306)	(8, 0.00047912797306576255)	(9, 0.0005112646054055393)	(10, 0.0006772064887600229)	(15, 0.0009319623378535259)	(20, 0.0012410583107215606)	(25, 0.001624360689174171)	(30, 0.0020906340093040225)	(35, 0.0028519800445536425)	(40, 0.0037354452826944148)	(45, 0.004562233187435944)	(50, 0.005473744941073248)	(55, 0.006623652076431079)	(60, 0.008038248201787435)	(65, 0.010051754293475993)	(70, 0.01283186514206977)	(75, 0.01714284829484928)	(80, 0.023750724206313557)	(85, 0.034601804191440724)	(90, 0.051590396651059064)	(95, 0.07780746131384894)	(100, 0.11797708313375754)	(105, 0.17651892551111342)	(110, 0.26045338185614236)	(115, 0.3758408367257201)	(120, 0.5291132910070513)	(125, 0.7269802892302752)	(130, 0.977445021452809)	(135, 1.2894800354239178)	(140, 1.5077865161176458)
NG-13640_SUP_HD_1_lib241216_5808_7_1 - polya	(1, 0.0025329509307805862)	(2, 0.008352602896311068)	(3, 0.011799987092759848)	(4, 0.017023650603989016)	(5, 0.019831223665673147)	(6, 0.022589131022832172)	(7, 0.02722849212788358)	(8, 0.033331530760410275)	(9, 0.04311567455185685)	(10, 0.05935519132675532)	(15, 0.07823926079201432)	(20, 0.09593661207032629)	(25, 0.12026754856597437)	(30, 0.14243890336838944)	(35, 0.15900270797871655)	(40, 0.17370083500611808)	(45, 0.1897264971003555)	(50, 0.20447370552987598)	(55, 0.22092473977581079)	(60, 0.23618730292757997)	(65, 0.2562732824423467)	(70, 0.2773683522125823)	(75, 0.2942541074487134)	(80, 0.30902936239373036)	(85, 0.32424751856263007)	(90, 0.3406944626917217)	(95, 0.3591958140809342)	(100, 0.3776737933738996)	(105, 0.3966519355265533)	(110, 0.41300480696825026)	(115, 0.42692464319062307)	(120, 0.441039052114253)	(125, 0.4549653156630937)	(130, 0.4711066696337543)	(135, 0.4887140383415149)	(140, 0.49879267054567505)
NG-13640_SUP_HD_1_lib241216_5808_7_2 - illumina_universal_adapter	(1, 0.00012270350529732944)	(2, 0.00012562501732821824)	(3, 0.00017821223388421657)	(4, 0.0002950727151197684)	(5, 0.0003710320279228771)	(6, 0.0004323837805715418)	(7, 0.00047912797306576255)	(8, 0.0005287936775908721)	(9, 0.0005726163580542041)	(10, 0.000801078598869708)	(15, 0.0012509914516265824)	(20, 0.0019258607307618945)	(25, 0.003298387082873451)	(30, 0.0050436983701264175)	(35, 0.007306701589252879)	(40, 0.009948917069988706)	(45, 0.012706240124741553)	(50, 0.015769153337925366)	(55, 0.019149927060069884)	(60, 0.022836290940645366)	(65, 0.027091765364837983)	(70, 0.03228738236057062)	(75, 0.038997511193116)	(80, 0.04798291359531759)	(85, 0.060985395039991265)	(90, 0.07978474065635448)	(95, 0.10776289277136412)	(100, 0.1492308345377997)	(105, 0.20828511012537348)	(110, 0.29128409831811186)	(115, 0.40459143662169667)	(120, 0.5548646666521175)	(125, 0.7478766961824105)	(130, 0.9908629419082751)	(135, 1.292377006753747)	(140, 1.501502343739204)
NG-13640_SUP_HD_1_lib241216_5808_7_2 - polya	(1, 0.013135118090876027)	(2, 0.01870936304581185)	(3, 0.020780715075712008)	(4, 0.024222256248099008)	(5, 0.026457212951728936)	(6, 0.028195512610107772)	(7, 0.030249335567822597)	(8, 0.036077752069445745)	(9, 0.04365615427757128)	(10, 0.05639102522021554)	(15, 0.07833041196737806)	(20, 0.09880378397744054)	(25, 0.1158397049319593)	(30, 0.13070202093549677)	(35, 0.14493445894517465)	(40, 0.1604412605027262)	(45, 0.17854820776776875)	(50, 0.1978278499620101)	(55, 0.21973042565758344)	(60, 0.23694923326523581)	(65, 0.2558829684350199)	(70, 0.28249093140754267)	(75, 0.3036777366555483)	(80, 0.3227628061485324)	(85, 0.34886067312046204)	(90, 0.37005448999734175)	(95, 0.39189571394026634)	(100, 0.40934824251038987)	(105, 0.42719984962393276)	(110, 0.44569243647705264)	(115, 0.4650293403070994)	(120, 0.4848804302545826)	(125, 0.5049220027864798)	(130, 0.5255689126111771)	(135, 0.549025148404777)	(140, 0.5614620251202707)
NG-13640_SUP_M2_lib248389_5885_6_1 - illumina_universal_adapter	(1, 9.357054339408807e-05)	(2, 9.357054339408807e-05)	(3, 0.00010105618686561511)	(4, 0.00014597004769477737)	(5, 0.00018339826505241262)	(6, 0.00022456930414581136)	(7, 0.0002470262345603925)	(8, 0.000250769056296156)	(9, 0.0002844544519180277)	(10, 0.0003555680648975346)	(15, 0.00048731538999641065)	(20, 0.0006707136550488232)	(25, 0.0008623461279199156)	(30, 0.001125092213770515)	(35, 0.001575727950756443)	(40, 0.002104962944193405)	(45, 0.0026289579872002984)	(50, 0.0033019173352905793)	(55, 0.004101384058049668)	(60, 0.005266150182219276)	(65, 0.0071106127336035396)	(70, 0.010339170762873153)	(75, 0.015927952178715246)	(80, 0.026335990861526447)	(85, 0.04484723860226568)	(90, 0.07799291932984029)	(95, 0.13381111700397602)	(100, 0.2230729240158531)	(105, 0.3586454129286794)	(110, 0.5525415443855615)	(115, 0.8169696543242129)	(120, 1.1625728306324508)	(125, 1.5978061076113648)	(130, 2.131782507623192)	(135, 2.776404203787661)	(140, 3.2175541333664697)
NG-13640_SUP_M2_lib248389_5885_6_1 - polya	(1, 0.006579880611472273)	(2, 0.011089980803067317)	(3, 0.014125409230771534)	(4, 0.01836976907912737)	(5, 0.02082506013778824)	(6, 0.023081981644453645)	(7, 0.026895916993196673)	(8, 0.03204978252334304)	(9, 0.04080798538502969)	(10, 0.054414639523224395)	(15, 0.07027297521765444)	(20, 0.08597635809222387)	(25, 0.10666967090491324)	(30, 0.1253673111680935)	(35, 0.13913715233396748)	(40, 0.15173174747481172)	(45, 0.16601061239674958)	(50, 0.17922576738138346)	(55, 0.1932111950792374)	(60, 0.20629310561007808)	(65, 0.22327877921132008)	(70, 0.23940360381333647)	(75, 0.2540507623940734)	(80, 0.26652259298198466)	(85, 0.2789749608968699)	(90, 0.29195806093388643)	(95, 0.3071464315376148)	(100, 0.3219477943738652)	(105, 0.33723347834272344)	(110, 0.3510871587154786)	(115, 0.362241516052401)	(120, 0.37408380402435676)	(125, 0.38637897342634)	(130, 0.400913847355004)	(135, 0.4167714344850869)	(140, 0.4258096004126087)
NG-13640_SUP_M2_lib248389_5885_6_2 - illumina_universal_adapter	(1, 9.731336512985159e-05)	(2, 9.731336512985159e-05)	(3, 0.00010854183033714216)	(4, 0.00016094133463783147)	(5, 0.00020211237373123021)	(6, 0.00024328341282462895)	(7, 0.0002657403432392101)	(8, 0.00027696880844650066)	(9, 0.0003106542040683724)	(10, 0.0003974876683380861)	(15, 0.0005861258838205676)	(20, 0.0008810602365987331)	(25, 0.0014207751308958332)	(30, 0.002301835367494566)	(35, 0.0034636072342755634)	(40, 0.004821502960010571)	(45, 0.006423430662917358)	(50, 0.008239447769109818)	(55, 0.010336925069831696)	(60, 0.012829644345850202)	(65, 0.01616898989849842)	(70, 0.020977018700260235)	(75, 0.028176710591174946)	(80, 0.0403296527671991)	(85, 0.06043609113172076)	(90, 0.09518669381959075)	(95, 0.1524301580107052)	(100, 0.24324373891422985)	(105, 0.3801958319188586)	(110, 0.5751556733130447)	(115, 0.8415555017420964)	(120, 1.1888085138714588)	(125, 1.624803829355774)	(130, 2.160462253455654)	(135, 2.8018838370360446)	(140, 3.2381508813783766)
NG-13640_SUP_M2_lib248389_5885_6_2 - polya	(1, 0.015353054760101969)	(2, 0.02078388909869484)	(3, 0.022819984122950197)	(4, 0.02679860362806682)	(5, 0.029564548890796065)	(6, 0.03171292856712433)	(7, 0.03431793249521574)	(8, 0.04051230246790437)	(9, 0.048926165729900765)	(10, 0.06260168778803353)	(15, 0.08650858734304945)	(20, 0.10919308131916501)	(25, 0.12758231307131834)	(30, 0.14364350970382675)	(35, 0.15986340197793159)	(40, 0.17798913907988717)	(45, 0.198165193928694)	(50, 0.22009962642896258)	(55, 0.2450964356734328)	(60, 0.2644093958299726)	(65, 0.2856506577447777)	(70, 0.31550714673096336)	(75, 0.3383263822895664)	(80, 0.35958635831305036)	(85, 0.38889938958320314)	(90, 0.41264983918966414)	(95, 0.4359137219704759)	(100, 0.45525737326524895)	(105, 0.4754701077670663)	(110, 0.4961686605301857)	(115, 0.5170790570035493)	(120, 0.5386579214389202)	(125, 0.5615325507592127)	(130, 0.5849117124494859)	(135, 0.6103995799056883)	(140, 0.6242577516645264)
NG-13640_SUP_M2_lib248389_5904_3_1 - illumina_universal_adapter	(1, 0.00010333987913179845)	(2, 0.00010333987913179845)	(3, 0.0001127344135983256)	(4, 0.00013152348253137985)	(5, 0.00015970708593096125)	(6, 0.00018789068933054264)	(7, 0.00021607429273012404)	(8, 0.00023486336166317833)	(9, 0.00024425789612970544)	(10, 0.0003100196373953954)	(15, 0.00036262903040794727)	(20, 0.0007365315021757272)	(25, 0.0017248365280543815)	(30, 0.002106254627395383)	(35, 0.0026323485575209028)	(40, 0.0032768136219246636)	(45, 0.0038386067830229868)	(50, 0.004464282778493693)	(55, 0.00528724399776147)	(60, 0.006493502223263553)	(65, 0.00828222158569032)	(70, 0.011504546907709128)	(75, 0.016759849488284403)	(80, 0.026357305899288523)	(85, 0.042872897491443226)	(90, 0.08673410000876511)	(95, 0.13945059071423543)	(100, 0.2261395969575612)	(105, 0.34508943455894114)	(110, 0.5155570202678627)	(115, 0.7446389854203401)	(120, 1.0425415522608088)	(125, 1.4201774120255866)	(130, 1.8842392310686271)	(135, 2.4399127924154542)	(140, 2.8175336209250856)
NG-13640_SUP_M2_lib248389_5904_3_1 - polya	(1, 0.010437327792311645)	(2, 0.01559492721443504)	(3, 0.018535416502458033)	(4, 0.022828718753660934)	(5, 0.025243114111558405)	(6, 0.02759174772819019)	(7, 0.031265010704602296)	(8, 0.0360092506101985)	(9, 0.043102124132426485)	(10, 0.05461606557460215)	(15, 0.06805024986173594)	(20, 0.08217775079249943)	(25, 0.10154176523490517)	(30, 0.119485326065972)	(35, 0.1321303694579175)	(40, 0.14371007264135888)	(45, 0.1564979129571956)	(50, 0.1683801201504591)	(55, 0.18099134321832513)	(60, 0.19270069097740455)	(65, 0.20900396609061572)	(70, 0.22331935771070976)	(75, 0.23630824106413018)	(80, 0.24805704586796903)	(85, 0.2594826786861593)	(90, 0.27167114770303163)	(95, 0.28562578919961107)	(100, 0.2989077820283871)	(105, 0.31290563838351254)	(110, 0.325261330113889)	(115, 0.33532099762064627)	(120, 0.3460721028641399)	(125, 0.3570092198900708)	(130, 0.3703832791566188)	(135, 0.38473249110079233)	(140, 0.3925975953561689)
NG-13640_SUP_M2_lib248389_5904_3_2 - illumina_universal_adapter	(1, 0.00012212894806485272)	(2, 0.00012212894806485272)	(3, 0.00013152348253137985)	(4, 0.00015031255146443412)	(5, 0.0001784961548640155)	(6, 0.00021607429273012404)	(7, 0.00024425789612970544)	(8, 0.0002536524305962326)	(9, 0.0002630469650627597)	(10, 0.00036638684419455813)	(15, 0.0005880978576045985)	(20, 0.001287051221914217)	(25, 0.0030419502602614854)	(30, 0.004208751441004155)	(35, 0.005713755862541802)	(40, 0.0076603034040062246)	(45, 0.009740253334895333)	(50, 0.01202876193094134)	(55, 0.014681778464288604)	(60, 0.017340431718315782)	(65, 0.020900960281129567)	(70, 0.025913883872468447)	(75, 0.03325665201150605)	(80, 0.04499794118777166)	(85, 0.06320079117011464)	(90, 0.10937680697998879)	(95, 0.16335028639708046)	(100, 0.2526133950842347)	(105, 0.37287658860403516)	(110, 0.5427466819208855)	(115, 0.7708779201853504)	(120, 1.0714785973246057)	(125, 1.4511718601375527)	(130, 1.9145685461403634)	(135, 2.4692481657406313)	(140, 2.8474552132009743)
NG-13640_SUP_M2_lib248389_5904_3_2 - polya	(1, 0.015050044215376467)	(2, 0.019540631690376436)	(3, 0.021475905790481024)	(4, 0.025167957835826187)	(5, 0.027244149952928686)	(6, 0.02906668963943495)	(7, 0.03151866313519853)	(8, 0.03794452471030309)	(9, 0.04692569966030303)	(10, 0.061827310231108365)	(15, 0.08691635397741573)	(20, 0.11054924488141138)	(25, 0.12846650101597193)	(30, 0.1441854360853651)	(35, 0.1598630352031056)	(40, 0.1777558655480532)	(45, 0.19757645436553214)	(50, 0.21818430517130608)	(55, 0.24217418838502974)	(60, 0.26065135877379525)	(65, 0.2803592131776759)	(70, 0.31034844610172385)	(75, 0.3323861450533031)	(80, 0.35318188654840765)	(85, 0.38256423254591787)	(90, 0.40613136170864783)	(95, 0.4300874245982921)	(100, 0.4510184473897145)	(105, 0.47091231357603236)	(110, 0.4908381211795364)	(115, 0.5116789564400801)	(120, 0.53459222600394)	(125, 0.5583059099043476)	(130, 0.583210820775111)	(135, 0.6106917129965963)	(140, 0.6263711910212301)
NG-13640_SU_DHL_1_lib248388_5885_6_1 - illumina_universal_adapter	(1, 0.00010839059121056755)	(2, 0.00011495971795060195)	(3, 0.00014780535165077391)	(4, 0.0001872201120909803)	(5, 0.0002299194359012039)	(6, 0.00024962681612130706)	(7, 0.00026604963297139305)	(8, 0.00028904157656151346)	(9, 0.00029561070330154783)	(10, 0.0003941476044020638)	(15, 0.0005130487983966863)	(20, 0.0006431175078493674)	(25, 0.0007896090341521344)	(30, 0.0009761722335691113)	(35, 0.0013105407846368622)	(40, 0.0017736642198092872)	(45, 0.002209197322673567)	(50, 0.0027156769943302195)	(55, 0.003403464564011821)	(60, 0.00436781236944887)	(65, 0.006104032566839961)	(70, 0.008962259611428927)	(75, 0.014134133093858008)	(80, 0.02366790673166993)	(85, 0.04134936826514651)	(90, 0.07239703197657107)	(95, 0.12437524730709323)	(100, 0.20661611570360586)	(105, 0.33042707502373014)	(110, 0.5077074414443643)	(115, 0.7501154441910478)	(120, 1.0704162103450148)	(125, 1.4741606520015949)	(130, 1.9761608361342173)	(135, 2.586817661110379)	(140, 3.0048532379899036)
NG-13640_SU_DHL_1_lib248388_5885_6_1 - polya	(1, 0.004463721619853372)	(2, 0.009275606956928568)	(3, 0.012044493877853066)	(4, 0.016399824906495872)	(5, 0.018702303828877928)	(6, 0.02043326872487699)	(7, 0.023267846913201832)	(8, 0.027590332308144467)	(9, 0.03429084158297955)	(10, 0.04484020221480079)	(15, 0.056954328836098224)	(20, 0.06975558611440325)	(25, 0.0880243275784389)	(30, 0.1047138509741703)	(35, 0.11585508992526863)	(40, 0.12628160788705123)	(45, 0.13812508648665928)	(50, 0.14880188817723713)	(55, 0.16034055929610758)	(60, 0.17016337451048097)	(65, 0.1859240233851715)	(70, 0.19906490451593634)	(75, 0.21072050609077936)	(80, 0.22092695830677084)	(85, 0.23107428838210192)	(90, 0.24145613628205229)	(95, 0.254204840546437)	(100, 0.26655874029374577)	(105, 0.27859797887020676)	(110, 0.2891631054062041)	(115, 0.2978770520268597)	(120, 0.3069923722913314)	(125, 0.31639410648166866)	(130, 0.32804773731848974)	(135, 0.341090081548154)	(140, 0.34854801113611505)
