Gene	WGCNA_kTotal	Spearman_meanAbs	Variance	Variance_scaled	MX_Score	Rank_kTotal	Rank_MX	Pctl_kTotal	Pctl_MX	Rank_Sum	Rank_Prod	Rank_Combo
ENSG00000198542	9.625377971701958	0.16316228147001488	11.019966122818078	0.29608722377760266	0.048310266945676486	600	181	0.8977641235705752	0.9692780337941628	781	108600	138
ENSG00000127920	8.977434845244936	0.17651350001069274	11.443409158961522	0.30746439786347085	0.0542716169955614	660	123	0.8875234681686295	0.9791773340160437	783	81180	139
ENSG00000211679	22.59715510243749	0.1475179663735794	7.761678093641507	0.20854272082045744	0.030763798077446995	184	600	0.9687660010240655	0.8977641235705752	784	110400	140
ENSG00000154451	12.626764370136657	0.16272293313054034	8.839743095145383	0.23750844265567594	0.03864807043219833	422	362	0.9281447345963475	0.9383853899982932	784	152764	141
ENSG00000127951	9.287593871654384	0.15372161712700752	12.04501080036312	0.32362838220220824	0.04974867826032071	628	164	0.8929851510496671	0.9721795528247141	792	102992	142
ENSG00000196735	10.386076551172396	0.12535260174414767	13.346546419578724	0.3585983688470186	0.0449512385161813	553	239	0.9057859703020993	0.959378733572282	792	132167	143
ENSG00000197471	16.184451708441845	0.14790523893415183	8.559348339804703	0.2299747257870989	0.034014466766356916	317	476	0.9460658815497525	0.9189281447345964	793	150892	144
ENSG00000241351	27.693618558052783	0.14702082642920294	7.412104171935996	0.19915028069593507	0.029279238851524118	131	665	0.9778119132957843	0.8866700802184673	796	87115	145
ENSG00000198844	11.67365426517746	0.17741082293003058	8.55180761351744	0.22977211965503105	0.04076406083437651	476	321	0.9189281447345964	0.9453831711896228	797	152796	146
ENSG00000122707	21.693998727661814	0.19365203067928116	5.902196574577645	0.15858170329016177	0.03070966887071907	200	603	0.9660351595835467	0.8972520908004779	803	120600	147
ENSG00000142156	15.162239292305	0.1589858098067508	8.015869915341506	0.21537241067206994	0.03424115712073114	341	464	0.9419696193889743	0.9209762758149855	805	158224	148
ENSG00000211949	28.387114830226395	0.14351655621699277	7.5114225647574315	0.20181879227508248	0.02896433804719246	126	683	0.9786653012459464	0.8835978835978836	809	86058	149
ENSG00000175356	8.51063749534871	0.1896807716699446	11.364089294972967	0.30533321179111456	0.05791583922900124	711	100	0.8788189110769756	0.9831029185867896	811	71100	150
ENSG00000183160	7.972917867194798	0.1899037533439723	13.181697824349559	0.354169175294057	0.0672580557070807	774	60	0.8680662229049325	0.9899300221880867	834	46440	151
ENSG00000198729	14.523273551320232	0.2054473582968977	6.173026179277592	0.16585842128354583	0.03407517450399844	363	473	0.9382147124082608	0.9194401775046936	836	171699	152
ENSG00000186081	7.571791132273672	0.18213612200546905	18.970812052071576	0.5097125536233634	0.0928370678544641	817	20	0.8607270865335381	0.9967571257893838	837	16340	153
ENSG00000211966	28.91747534828947	0.1478665016258691	7.141331631726941	0.1918750959256568	0.028371899183654917	119	720	0.9798600443761734	0.8772828127666837	839	85680	154
ENSG00000211662	21.69544057416381	0.14686028511597846	7.541302819301759	0.20262162247575605	0.02975706924745168	199	643	0.9662058371735791	0.8904249871991807	842	127957	155
ENSG00000280916	23.648600954503816	0.20102521202351242	5.381254194837693	0.1445848922976198	0.029065208629525732	166	677	0.9718381976446493	0.8846219491380781	843	112382	156
ENSG00000137699	8.824023178624127	0.20295069218892828	9.044219067126809	0.24300235454237826	0.04931749605791503	674	171	0.8851339819081755	0.9709848096944871	845	115254	157
ENSG00000109846	9.396199453329489	0.20042808131662232	8.419222515859703	0.2262097898763146	0.04533879415994603	616	232	0.8950332821300563	0.9605734767025089	848	142912	158
ENSG00000185070	8.932591501570423	0.19063663118941923	9.35177296557149	0.2512657901044812	0.047900463758666	665	187	0.8866700802184673	0.9682539682539683	852	124355	159
ENSG00000211947	26.054320275028047	0.14523159598825539	7.305183462684766	0.19627750816526657	0.02850569576743949	143	710	0.9757637822153952	0.878989588667008	853	101530	160
ENSG00000144681	14.827304128403542	0.22026037839716037	5.635102229413236	0.15140534519023297	0.0333485986229534	354	503	0.9397508107185526	0.9143198498037208	857	178062	161
ENSG00000182175	15.433172293129378	0.21970741290142945	5.489316398495453	0.14748833478734447	0.032404280469267355	336	534	0.9428230073391364	0.9090288445127155	870	179424	162
ENSG00000183722	15.048450567301652	0.1978090908667593	6.122160200116224	0.1644917413512515	0.032537961811781174	346	529	0.9411162314388121	0.9098822324628776	875	183034	163
ENSG00000164694	7.600172230437448	0.16035305880635395	15.409258087661348	0.4140198251790522	0.06638934537393294	813	65	0.8614097968936678	0.9890766342379246	878	52845	164
ENSG00000122786	15.454326784848096	0.20033334423083848	5.989812393483821	0.16093578716753554	0.032240804449694856	335	545	0.9429936849291688	0.9071513910223588	880	182575	165
ENSG00000211660	26.27833671401646	0.14365488074172778	7.2635313436016	0.19515838854490292	0.028035455032165802	142	744	0.9759344598054276	0.8731865506059054	886	105648	166
ENSG00000129009	7.547147522537694	0.154922412205724	15.698441919734584	0.42178968917370097	0.0653446760902923	821	68	0.8600443761734085	0.9885646014678273	889	55828	167
