gene_id	gene_symbol	source_category	source_lineage_or_contrast	selection_reason
ENSG00000162944	RFTN2	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163083	INHBB	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000163106	HPGDS	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163110	PDLIM5	isolate rescue	RBL:isolate_NG-30919_RBL_7_lib628468_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163395	IGFN1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163412	EIF4E3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000163531	NFASC	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163888	CAMK2N2	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000163946	TASOR	strict recurrent core	NBL; NBL:isolate_LS_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000164054	SHISA5	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000164078	MST1R	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000164171	ITGA2	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000164649	CDCA7L	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000164855	TMEM184A	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000165409	TSHR	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000165655	ZNF503	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000165912	PACSIN3	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000166073	GPR176	strict recurrent core	BRCA; NBL:isolate_SK_N_BE_2_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000166165	CKB	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000166833	NAV2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000166923	GREM1	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000166987	MBD6	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000167693	NXN	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000168040	FADD	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000168135	KCNJ4	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000168309	FAM107A	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000168785	TSPAN5	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000169609	C15orf40	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000170807	LMOD2	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000171540	OTP	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000171608	PIK3CD	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
