tumour_lineage	tumour_sample_id	cell_line_model_id	cell_line_group_id	cell_line_lineage	rank	top10_indicator	is_displayed_model	is_focal_lineage	is_non_focal_lineage	similarity_score	panel	figure_label
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	34	FALSE	FALSE	TRUE	FALSE	-0.0804626776032079	A	CAL-51
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	neuroblastoma	35	FALSE	FALSE	FALSE	TRUE	-0.0971714504426476	A	CCLF-PEDS-0051-T
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_SIMA_libLAB6086	SIMA	neuroblastoma	36	FALSE	FALSE	FALSE	TRUE	-0.09996789193242	A	SIMA
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_CHP126_libLAB6088	CHP126	neuroblastoma	37	FALSE	FALSE	FALSE	TRUE	-0.103470082024059	A	CHP126
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_CHP134_libLAB6074	CHP134	neuroblastoma	38	FALSE	FALSE	FALSE	TRUE	-0.107615132228289	A	CHP134
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_NBLS_libLAB6077	NBLS	neuroblastoma	39	FALSE	FALSE	FALSE	TRUE	-0.111218642663761	A	NBLS
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_LS_libLAB6078	LS	neuroblastoma	40	FALSE	FALSE	FALSE	TRUE	-0.11738381089571	A	LS
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_Y_79_lib626626_10098_1	Y_79	retinoblastoma	41	FALSE	FALSE	FALSE	TRUE	-0.128105599556147	A	Y-79
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_MHHNB11_libLAB6084	MHHNB11	neuroblastoma	42	FALSE	FALSE	FALSE	TRUE	-0.137648578423169	A	MHHNB11
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_KELLY_libLAB6075	KELLY	neuroblastoma	43	FALSE	FALSE	FALSE	TRUE	-0.139964272350482	A	KELLY
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_LAN5_libLAB6087	LAN5	neuroblastoma	44	FALSE	FALSE	FALSE	TRUE	-0.141249992575664	A	LAN5
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	retinoblastoma	45	FALSE	FALSE	FALSE	TRUE	-0.141741221553003	A	WERI-RB1
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_NGP_libLAB6082	NGP	neuroblastoma	46	FALSE	FALSE	FALSE	TRUE	-0.164216170097991	A	NGP
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_LAN1_libLAB6085	LAN1	neuroblastoma	47	FALSE	FALSE	FALSE	TRUE	-0.186427685749014	A	LAN1
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_IMR32_libLAB6079	IMR32	neuroblastoma	48	FALSE	FALSE	FALSE	TRUE	-0.196168413976757	A	IMR32
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_LAN2_libLAB6083	LAN2	neuroblastoma	49	FALSE	FALSE	FALSE	TRUE	-0.206431815426477	A	LAN2
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_15_lib626622_10102_4	RBL_15	retinoblastoma	50	FALSE	FALSE	FALSE	TRUE	-0.235647012499786	A	RBL-15-4
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_7_lib628468_10098_1	RBL_7	retinoblastoma	51	FALSE	FALSE	FALSE	TRUE	-0.248050020106848	A	RBL-7
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_15_lib626622_10098_2	RBL_15	retinoblastoma	52	FALSE	FALSE	FALSE	TRUE	-0.248514696166492	A	RBL-15-2
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_13_lib628469_10098_1	RBL_13	retinoblastoma	53	FALSE	FALSE	FALSE	TRUE	-0.29959482343882	A	RBL-13
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_18_lib626623_10098_1	RBL_18	retinoblastoma	54	FALSE	FALSE	FALSE	TRUE	-0.313840463781646	A	RBL-18
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_30_lib628471_10098_1	RBL_30	retinoblastoma	55	FALSE	FALSE	FALSE	TRUE	-0.314684567059918	A	RBL-30
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_20_lib626624_10102_3	RBL_20	retinoblastoma	56	FALSE	FALSE	FALSE	TRUE	-0.328626945132239	A	RBL-20-3
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_14_lib628470_10098_1	RBL_14	retinoblastoma	57	FALSE	FALSE	FALSE	TRUE	-0.336738861487753	A	RBL-14
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_RBL_20_lib626624_10098_1	RBL_20	retinoblastoma	58	FALSE	FALSE	FALSE	TRUE	-0.345710253863362	A	RBL-20-1
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	breast cancer	1	TRUE	TRUE	TRUE	FALSE	0.305174429959517	A	EFM-192A
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	breast cancer	2	TRUE	FALSE	TRUE	FALSE	0.288656418870879	A	JIMT-1-B
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_KPL_1_lib581296_7997_4	KPL_1	breast cancer	3	TRUE	TRUE	TRUE	FALSE	0.274304566857277	A	KPL-1
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_MCF_7_lib581315_7997_4	MCF_7	breast cancer	4	TRUE	TRUE	TRUE	FALSE	0.268836063334299	A	MCF-7
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	breast cancer	5	TRUE	FALSE	TRUE	FALSE	0.25829665129276	A	HCC-1143
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	breast cancer	6	TRUE	FALSE	TRUE	FALSE	0.227600080916523	A	SK-BR-3
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	breast cancer	7	TRUE	FALSE	TRUE	FALSE	0.223109144021279	A	MDA-MB-453
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	8	TRUE	FALSE	TRUE	FALSE	0.211269337773727	A	MDA-MB-231
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_IPH_926_lib581313_7997_4	IPH_926	breast cancer	9	TRUE	FALSE	TRUE	FALSE	0.210546120147061	A	IPH-926
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	10	TRUE	FALSE	TRUE	FALSE	0.205796641684797	A	CAL-120
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	11	FALSE	FALSE	TRUE	FALSE	0.205347338366975	A	CAL-51
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	12	FALSE	FALSE	TRUE	FALSE	0.204947647079581	A	ETCC-007
breast cancer	TCGA-3C-AALJ-01A-31R-A41B-07	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	breast cancer	13	FALSE	FALSE	TRUE	FALSE	0.204767366743658	A	HDQ-P1
