cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
CAL_120	breast cancer	TCGA-A2-A0CP-01A-11R-A034-07	breast cancer	0.426447195155909	5	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-EW-A1P4-01A-21R-A144-07	breast cancer	0.424081190437176	6	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A7-A13D-01A-13R-A12P-07	breast cancer	0.422034519491763	7	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A18J-01A-11R-A12D-07	breast cancer	0.411824223877432	8	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0E1-01A-11R-A056-07	breast cancer	0.407347960963018	9	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-D8-A1X9-01A-12R-A157-07	breast cancer	0.406552072193191	10	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-C8-A131-01A-11R-A115-07	breast cancer	0.403004462637075	11	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0HI-01A-11R-A084-07	breast cancer	0.400944515232815	12	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A04V-01A-21R-A034-07	breast cancer	0.399929914272508	13	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E9-A1R3-01A-31R-A14M-07	breast cancer	0.397043332614774	14	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A1FD-01A-11R-A13Q-07	breast cancer	0.396074151118943	15	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-B6-A0RI-01A-11R-A056-07	breast cancer	0.39114578984274	16	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0E2-01A-11R-A056-07	breast cancer	0.386655551708488	17	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A0T5-01A-21R-A084-07	breast cancer	0.383912914815096	18	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-D8-A27F-01A-11R-A16F-07	breast cancer	0.383839544910941	19	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-AO-A12C-01A-11R-A10J-07	breast cancer	0.383212057540173	20	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A7-A5ZW-01A-12R-A29R-07	breast cancer	0.382206540472761	21	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-B6-A0RE-01A-11R-A056-07	breast cancer	0.381317017730012	22	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-AR-A1AN-01A-11R-A12P-07	breast cancer	0.380767791590342	23	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E2-A1IG-01A-11R-A144-07	breast cancer	0.380364606497988	24	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A18G-01A-11R-A12D-07	breast cancer	0.379347909254705	25	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A259-01A-11R-A16F-07	breast cancer	0.379299694746261	26	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-D8-A1XT-01A-11R-A14M-07	breast cancer	0.379010407695595	27	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-3C-AALK-01A-11R-A41B-07	breast cancer	0.377349452817736	28	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-BH-A0AV-01A-31R-A115-07	breast cancer	0.376966531794149	29	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-D8-A1XK-01A-21R-A14M-07	breast cancer	0.37409951544419	30	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E2-A1LL-01A-11R-A144-07	breast cancer	0.37220447563403	31	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
