Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17011011_2	SRR17011011_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64581542.0	0.0	35-151	50.0	31.83137221943658	146.06353555323903	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011012_1	SRR17011012_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43355002.0	0.0	35-151	51.0	29.16017216906457	147.71717466418292	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011012_2	SRR17011012_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43355002.0	0.0	35-151	51.0	32.33502465801272	147.55827911160054	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011013_1	SRR17011013_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54717994.0	0.0	35-151	50.0	29.09084733205212	148.04382942108586	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011013_2	SRR17011013_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54717994.0	0.0	35-151	50.0	32.66621668458812	147.8845610641355	151	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR17011014_1	SRR17011014_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42081384.0	0.0	35-151	50.0	33.895957511183475	145.95684493171612	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011014_2	SRR17011014_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42081384.0	0.0	35-151	50.0	37.007004899733964	145.84107930005345	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17011015_1	SRR17011015_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45628058.0	0.0	35-151	50.0	28.762896266760556	146.84174811910688	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011015_2	SRR17011015_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45628058.0	0.0	35-151	50.0	31.973575064048752	146.70064629969568	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR17011016_1	SRR17011016_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68616795.0	0.0	35-151	51.0	27.0621003600736	146.35672438504304	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
